

lambda(nm), Y
1000, 0.879997
996.678, 0.87916
993.377, 0.878207
990.099, 0.877111
986.842, 0.875902
983.607, 0.874652
980.392, 0.873442
977.199, 0.872328
974.026, 0.871315
970.874, 0.870358
967.742, 0.869382
964.63, 0.868312
961.538, 0.867109
958.466, 0.865785
955.414, 0.864397
952.381, 0.863023
949.367, 0.861725
946.372, 0.860524
943.396, 0.859392
940.439, 0.858261
937.5, 0.857054
934.579, 0.855723
931.677, 0.854262
928.793, 0.852716
925.926, 0.851158
923.077, 0.849656
920.245, 0.848245
917.431, 0.846909
914.634, 0.84559
911.854, 0.844212
909.091, 0.842714
906.344, 0.841078
903.614, 0.839335
900.901, 0.837552
898.204, 0.835802
895.522, 0.834131
892.857, 0.832536
890.208, 0.83097
887.574, 0.829356
884.956, 0.827624
882.353, 0.825741
879.765, 0.823723
877.193, 0.821629
874.636, 0.819536
872.093, 0.817499
869.565, 0.81553
867.052, 0.813589
864.553, 0.8116
862.069, 0.809482
859.599, 0.807183
857.143, 0.804703
854.701, 0.80209
852.273, 0.799419
849.858, 0.796756
847.458, 0.794125
845.07, 0.791497
842.697, 0.788797
840.336, 0.785937
837.989, 0.782854
835.655, 0.779539
833.333, 0.776054
831.025, 0.772508
828.729, 0.769034
826.446, 0.765749
824.176, 0.762729
821.918, 0.760004
819.672, 0.757573
817.439, 0.755427
815.217, 0.753572
813.008, 0.752028
810.811, 0.75082
808.625, 0.749942
806.452, 0.749335
804.29, 0.748876
802.139, 0.748391
800, 0.747698
797.872, 0.746659
795.756, 0.745216
793.651, 0.74341
791.557, 0.741358
789.474, 0.739201
787.402, 0.737049
785.34, 0.734932
783.29, 0.732794
781.25, 0.730518
779.221, 0.727983
777.202, 0.725123
775.194, 0.721963
773.196, 0.718615
771.208, 0.71524
769.231, 0.711973
767.263, 0.708866
765.306, 0.705857
763.359, 0.70279
761.421, 0.699479
759.494, 0.695791
757.576, 0.691707
755.668, 0.687342
753.769, 0.682905
751.88, 0.678605
750, 0.674557
748.13, 0.670704
746.269, 0.666823
744.417, 0.662592
742.574, 0.657726
740.741, 0.652118
738.916, 0.645939
737.101, 0.639647
735.294, 0.633891
733.496, 0.629335
731.707, 0.626447
729.927, 0.625336
728.155, 0.625686
726.392, 0.626811
724.638, 0.627829
722.892, 0.627895
721.154, 0.626422
719.424, 0.623219
717.703, 0.618514
715.99, 0.61285
714.286, 0.606902
712.589, 0.601269
710.9, 0.596318
709.22, 0.592117
707.547, 0.588465
705.882, 0.585012
704.225, 0.581396
702.576, 0.577373
700.935, 0.572875
699.301, 0.567999
697.674, 0.562941
696.056, 0.557894
694.444, 0.552978
692.841, 0.548198
691.244, 0.543459
689.655, 0.538622
688.073, 0.533569
686.499, 0.52825
684.932, 0.522702
683.371, 0.517023
681.818, 0.511328
680.272, 0.5057
678.733, 0.500159
677.201, 0.494658
675.676, 0.489114
674.157, 0.483441
672.646, 0.477593
671.141, 0.471578
669.643, 0.465449
668.151, 0.459284
666.667, 0.453147
665.188, 0.447063
663.717, 0.441012
662.252, 0.434939
660.793, 0.428783
659.341, 0.422503
657.895, 0.416094
656.455, 0.409587
655.022, 0.403037
653.595, 0.396495
652.174, 0.389989
650.759, 0.383514
649.351, 0.377035
647.948, 0.370509
646.552, 0.3639
645.161, 0.357197
643.777, 0.350421
642.398, 0.343608
641.026, 0.3368
639.659, 0.330025
638.298, 0.323286
636.943, 0.316564
635.593, 0.309828
634.249, 0.303048
632.911, 0.296214
631.579, 0.289336
630.252, 0.282441
628.931, 0.275562
627.615, 0.268727
626.305, 0.261943
625, 0.255202
623.701, 0.248483
622.407, 0.241764
621.118, 0.235033
619.835, 0.228296
618.557, 0.221573
617.284, 0.21489
616.016, 0.208272
614.754, 0.201731
613.497, 0.195263
612.245, 0.188856
610.998, 0.182495
609.756, 0.176169
608.519, 0.169882
607.287, 0.163647
606.061, 0.157487
604.839, 0.151421
603.622, 0.145462
602.41, 0.139613
601.202, 0.133865
600, 0.128208
598.802, 0.122635
597.61, 0.117147
596.421, 0.111755
595.238, 0.106475
594.059, 0.101324
592.885, 0.0963133
591.716, 0.0914466
590.551, 0.08672
589.391, 0.0821264
588.235, 0.0776606
587.084, 0.0733232
585.938, 0.0691214
584.795, 0.0650673
583.658, 0.0611736
582.524, 0.0574492
581.395, 0.0538972
580.271, 0.0505152
579.151, 0.0472981
578.035, 0.0442418
576.923, 0.0413464
575.816, 0.0386169
574.713, 0.0360615
573.614, 0.0336889
572.519, 0.0315048
571.429, 0.0295106
570.342, 0.0277033
569.26, 0.0260782
568.182, 0.0246316
567.108, 0.023363
566.038, 0.0222755
564.972, 0.0213743
563.91, 0.0206644
562.852, 0.0201481
561.798, 0.0198238
560.748, 0.019687
559.701, 0.0197323
558.659, 0.0199553
557.621, 0.0203551
556.586, 0.0209333
555.556, 0.021693
554.529, 0.0226365
553.506, 0.0237628
552.486, 0.0250679
551.471, 0.0265449
550.459, 0.028187
549.451, 0.029989
548.446, 0.0319492
547.445, 0.0340687
546.448, 0.0363496
545.455, 0.0387925
544.465, 0.0413948
543.478, 0.0441499
542.495, 0.0470493
541.516, 0.0500842
540.541, 0.0532488
539.568, 0.0565408
538.6, 0.0599611
537.634, 0.0635118
536.673, 0.0671934
535.714, 0.0710023
534.759, 0.0749313
533.808, 0.0789701
532.86, 0.0831089
531.915, 0.0873407
530.973, 0.0916629
530.035, 0.0960767
529.101, 0.100585
528.169, 0.105189
527.241, 0.109886
526.316, 0.114669
525.394, 0.119526
524.476, 0.124447
523.56, 0.129424
522.648, 0.134455
521.739, 0.13954
520.833, 0.144684
519.931, 0.14989
519.031, 0.155156
518.135, 0.160475
517.241, 0.165838
516.351, 0.171233
515.464, 0.176651
514.58, 0.18209
513.699, 0.18755
512.821, 0.193037
511.945, 0.198556
511.073, 0.204107
510.204, 0.209686
509.338, 0.215282
508.475, 0.220886
507.614, 0.226486
506.757, 0.23208
505.902, 0.237668
505.051, 0.243257
504.202, 0.248854
503.356, 0.25446
502.513, 0.260074
501.672, 0.265687
500.835, 0.271289
500, 0.276869
499.168, 0.282422
498.339, 0.28795
497.512, 0.293458
496.689, 0.298955
495.868, 0.304446
495.05, 0.30993
494.234, 0.315401
493.421, 0.320848
492.611, 0.326262
491.803, 0.331635
490.998, 0.336969
490.196, 0.342269
489.396, 0.347544
488.599, 0.3528
487.805, 0.358041
487.013, 0.363262
486.224, 0.368452
485.437, 0.373603
484.653, 0.378705
483.871, 0.383759
483.092, 0.388769
482.315, 0.393745
481.541, 0.398695
480.769, 0.403623
480, 0.408527
479.233, 0.413399
478.469, 0.418229
477.707, 0.423008
476.948, 0.427732
476.19, 0.432407
475.436, 0.437041
474.684, 0.441644
473.934, 0.446222
473.186, 0.450774
472.441, 0.455295
471.698, 0.459774
470.958, 0.464202
470.219, 0.468574
469.484, 0.472892
468.75, 0.477165
468.019, 0.481404
467.29, 0.485615
466.563, 0.489801
465.839, 0.493958
465.116, 0.498074
464.396, 0.502141
463.679, 0.506152
462.963, 0.510107
462.25, 0.514014
461.538, 0.517883
460.829, 0.521723
460.123, 0.525537
459.418, 0.529323
458.716, 0.533072
458.015, 0.536774
457.317, 0.54042
456.621, 0.544009
455.927, 0.547546
455.235, 0.551042
454.545, 0.554505
453.858, 0.557942
453.172, 0.561352
452.489, 0.564727
451.807, 0.568056
451.128, 0.57133
450.45, 0.574545
449.775, 0.577706
449.102, 0.580822
448.43, 0.583902
447.761, 0.586956
447.094, 0.589983
446.429, 0.592979
445.765, 0.595934
445.104, 0.598841
444.444, 0.601693
443.787, 0.604496
443.131, 0.607257
442.478, 0.609991
441.826, 0.612708
441.176, 0.615413
440.529, 0.618105
439.883, 0.620777
439.239, 0.623422
438.596, 0.626035
437.956, 0.628617
437.318, 0.631177
436.681, 0.633724
436.047, 0.636271
435.414, 0.638821
434.783, 0.641372
434.153, 0.643914
433.526, 0.646435
432.9, 0.648925
432.277, 0.651377
431.655, 0.653796
431.034, 0.656186
430.416, 0.658557
429.799, 0.660912
429.185, 0.663249
428.571, 0.665558
427.96, 0.667827
427.35, 0.670045
426.743, 0.672205
426.136, 0.674308
425.532, 0.676361
424.929, 0.678374
424.328, 0.680355
423.729, 0.682303
423.131, 0.684215
422.535, 0.68608
421.941, 0.687888
421.348, 0.689634
420.757, 0.691319
420.168, 0.692954
419.58, 0.69455
418.994, 0.696121
418.41, 0.697674
417.827, 0.699212
417.246, 0.700731
416.667, 0.702226
416.089, 0.703697
415.512, 0.705148
414.938, 0.706593
414.365, 0.708048
413.793, 0.709531
413.223, 0.711051
412.655, 0.712615
412.088, 0.714217
411.523, 0.715849
410.959, 0.717503
410.397, 0.719175
409.836, 0.720867
409.277, 0.722586
408.719, 0.724338
408.163, 0.726128
407.609, 0.727951
407.056, 0.729795
406.504, 0.731647
405.954, 0.73349
