

lambda(nm), Y
1000, 0.923588
996.678, 0.922851
993.377, 0.921924
990.099, 0.920981
986.842, 0.920169
983.607, 0.919597
980.392, 0.919328
977.199, 0.919373
974.026, 0.919694
970.874, 0.920217
967.742, 0.92084
964.63, 0.921449
961.538, 0.921933
958.466, 0.9222
955.414, 0.922185
952.381, 0.921861
949.367, 0.921237
946.372, 0.920358
943.396, 0.919298
940.439, 0.918148
937.5, 0.917005
934.579, 0.915957
931.677, 0.915075
928.793, 0.914406
925.926, 0.913961
923.077, 0.913724
920.245, 0.913648
917.431, 0.913666
914.634, 0.913698
911.854, 0.913665
909.091, 0.913496
906.344, 0.91314
903.614, 0.912569
900.901, 0.911783
898.204, 0.91081
895.522, 0.909699
892.857, 0.908513
890.208, 0.907323
887.574, 0.906197
884.956, 0.90519
882.353, 0.904338
879.765, 0.903654
877.193, 0.903127
874.636, 0.902722
872.093, 0.90239
869.565, 0.902067
867.052, 0.901691
864.553, 0.901205
862.069, 0.900566
859.599, 0.89975
857.143, 0.898756
854.701, 0.897604
852.273, 0.896332
849.858, 0.894992
847.458, 0.893642
845.07, 0.892337
842.697, 0.891122
840.336, 0.890027
837.989, 0.889064
835.655, 0.88822
833.333, 0.887467
831.025, 0.886757
828.729, 0.886037
826.446, 0.885249
824.176, 0.884341
821.918, 0.883274
819.672, 0.882024
817.439, 0.88059
815.217, 0.878989
813.008, 0.877255
810.811, 0.875438
808.625, 0.873591
806.452, 0.871769
804.29, 0.870022
802.139, 0.868385
800, 0.866876
797.872, 0.865498
795.756, 0.864235
793.651, 0.863058
791.557, 0.861929
789.474, 0.860808
787.402, 0.859657
785.34, 0.85845
783.29, 0.857173
781.25, 0.855827
779.221, 0.854427
777.202, 0.853004
775.194, 0.851592
773.196, 0.850229
771.208, 0.848944
769.231, 0.847757
767.263, 0.846669
765.306, 0.84566
763.359, 0.84469
761.421, 0.843704
759.494, 0.842631
757.576, 0.841398
755.668, 0.839934
753.769, 0.838184
751.88, 0.836113
750, 0.833714
748.13, 0.831013
746.269, 0.828067
744.417, 0.824963
742.574, 0.821809
740.741, 0.818725
738.916, 0.815834
737.101, 0.813247
735.294, 0.811054
733.496, 0.809312
731.707, 0.808042
729.927, 0.807222
728.155, 0.806792
726.392, 0.806655
724.638, 0.806688
722.892, 0.806754
721.154, 0.806711
719.424, 0.806426
717.703, 0.805787
715.99, 0.804713
714.286, 0.803157
712.589, 0.801109
710.9, 0.798598
709.22, 0.79568
707.547, 0.79244
705.882, 0.788971
704.225, 0.785373
702.576, 0.781737
700.935, 0.778137
699.301, 0.774628
697.674, 0.771235
696.056, 0.767959
694.444, 0.764777
692.841, 0.761645
691.244, 0.758511
689.655, 0.755314
688.073, 0.752002
686.499, 0.74853
684.932, 0.744871
683.371, 0.741017
681.818, 0.736981
680.272, 0.732792
678.733, 0.728494
677.201, 0.724142
675.676, 0.719792
674.157, 0.715495
672.646, 0.711297
671.141, 0.707226
669.643, 0.703296
668.151, 0.699505
666.667, 0.695833
665.188, 0.692247
663.717, 0.688707
662.252, 0.685165
660.793, 0.681578
659.341, 0.677905
657.895, 0.674113
656.455, 0.67018
655.022, 0.666097
