

lambda(nm), Y
1000, 0.734182
996.678, 0.72677
993.377, 0.719007
990.099, 0.710949
986.842, 0.702624
983.607, 0.694029
980.392, 0.685112
977.199, 0.67578
974.026, 0.665907
970.874, 0.655354
967.742, 0.643992
964.63, 0.631731
961.538, 0.618545
958.466, 0.604484
955.414, 0.589683
952.381, 0.574353
949.367, 0.558757
946.372, 0.543182
943.396, 0.527896
940.439, 0.51311
937.5, 0.498943
934.579, 0.485397
931.677, 0.472347
928.793, 0.459557
925.926, 0.446704
923.077, 0.433424
920.245, 0.419368
917.431, 0.404257
914.634, 0.387941
911.854, 0.370441
909.091, 0.351971
906.344, 0.332947
903.614, 0.313966
900.901, 0.295769
898.204, 0.279179
895.522, 0.265042
892.857, 0.254152
890.208, 0.247188
887.574, 0.244661
884.956, 0.24688
882.353, 0.253929
879.765, 0.265675
877.193, 0.281786
874.636, 0.301767
872.093, 0.325004
869.565, 0.350813
867.052, 0.378484
864.553, 0.407323
862.069, 0.436685
859.599, 0.465995
857.143, 0.494766
854.701, 0.522597
852.273, 0.549178
849.858, 0.57428
847.458, 0.59775
845.07, 0.619499
842.697, 0.639499
840.336, 0.657772
837.989, 0.67438
835.655, 0.689421
833.333, 0.703017
831.025, 0.715303
828.729, 0.726421
826.446, 0.736502
824.176, 0.745663
821.918, 0.753997
819.672, 0.761568
817.439, 0.768415
815.217, 0.774554
813.008, 0.779987
810.811, 0.784712
808.625, 0.788735
806.452, 0.792078
804.29, 0.794785
802.139, 0.796925
800, 0.798586
797.872, 0.799869
795.756, 0.800879
793.651, 0.801709
791.557, 0.802429
789.474, 0.803082
787.402, 0.803678
785.34, 0.804195
783.29, 0.804592
781.25, 0.804817
779.221, 0.804819
777.202, 0.80457
775.194, 0.804065
773.196, 0.803336
771.208, 0.802444
769.231, 0.801474
767.263, 0.800518
765.306, 0.799659
763.359, 0.798954
761.421, 0.798414
759.494, 0.797998
757.576, 0.797612
755.668, 0.797116
753.769, 0.796342
751.88, 0.795119
750, 0.793297
748.13, 0.790779
746.269, 0.787543
744.417, 0.78365
742.574, 0.779254
740.741, 0.774587
738.916, 0.769935
737.101, 0.765614
735.294, 0.761924
733.496, 0.759119
731.707, 0.757367
729.927, 0.756734
728.155, 0.757167
726.392, 0.758501
724.638, 0.760473
722.892, 0.762757
721.154, 0.764996
719.424, 0.766843
717.703, 0.768004
715.99, 0.768262
714.286, 0.767501
712.589, 0.76571
710.9, 0.76298
709.22, 0.759481
707.547, 0.755437
705.882, 0.751093
704.225, 0.746681
702.576, 0.742395
700.935, 0.738369
699.301, 0.734669
697.674, 0.73129
696.056, 0.728171
694.444, 0.725208
692.841, 0.722277
691.244, 0.719259
689.655, 0.716053
688.073, 0.712596
686.499, 0.708867
684.932, 0.704883
683.371, 0.700697
681.818, 0.696384
680.272, 0.692023
678.733, 0.687688
677.201, 0.683435
675.676, 0.679292
674.157, 0.675261
672.646, 0.671319
671.141, 0.667426
669.643, 0.663533
668.151, 0.659597
666.667, 0.655583
665.188, 0.651478
663.717, 0.647287
662.252, 0.643032
660.793, 0.638752
659.341, 0.634488
657.895, 0.630279
656.455, 0.626155
655.022, 0.622125
653.595, 0.618183
652.174, 0.6143
650.759, 0.610435
649.351, 0.606538
647.948, 0.602556
646.552, 0.598446
645.161, 0.594176
643.777, 0.589733
642.398, 0.585121
641.026, 0.580362
639.659, 0.575487
638.298, 0.570534
636.943, 0.56554
635.593, 0.560535
634.249, 0.555537
632.911, 0.550551
631.579, 0.545566
630.252, 0.540564
628.931, 0.535517
627.615, 0.530399
626.305, 0.525186
625, 0.519864
623.701, 0.514428
622.407, 0.508886
621.118, 0.503254
619.835, 0.497556
618.557, 0.491817
617.284, 0.486062
616.016, 0.480306
614.754, 0.474559
613.497, 0.468819
612.245, 0.463077
610.998, 0.457316
609.756, 0.451517
608.519, 0.44566
607.287, 0.439731
606.061, 0.433721
604.839, 0.427632
603.622, 0.42147
602.41, 0.415251
601.202, 0.408993
600, 0.402715
598.802, 0.396433
597.61, 0.390159
596.421, 0.383898
595.238, 0.377647
594.059, 0.371398
592.885, 0.365139
591.716, 0.358856
590.551, 0.352538
589.391, 0.346175
588.235, 0.339766
587.084, 0.333313
585.938, 0.326826
584.795, 0.320317
583.658, 0.313802
582.524, 0.307295
581.395, 0.300809
580.271, 0.294352
579.151, 0.287926
578.035, 0.281531
576.923, 0.27516
575.816, 0.268804
574.713, 0.262457
573.614, 0.256112
572.519, 0.249764
571.429, 0.243416
570.342, 0.237072
569.26, 0.230742
568.182, 0.224439
567.108, 0.218173
566.038, 0.211959
564.972, 0.205804
563.91, 0.199715
562.852, 0.193695
561.798, 0.187742
560.748, 0.181853
559.701, 0.176023
558.659, 0.170248
557.621, 0.164525
556.586, 0.158855
555.556, 0.15324
554.529, 0.147688
553.506, 0.142205
552.486, 0.136804
551.471, 0.131493
550.459, 0.126281
549.451, 0.121175
548.446, 0.116179
547.445, 0.111295
546.448, 0.106521
545.455, 0.101857
544.465, 0.0972999
543.478, 0.0928475
542.495, 0.0885
541.516, 0.0842594
540.541, 0.0801296
539.568, 0.0761166
538.6, 0.0722271
537.634, 0.0684686
536.673, 0.0648477
535.714, 0.0613696
534.759, 0.0580381
533.808, 0.0548546
532.86, 0.051819
531.915, 0.0489301
530.973, 0.0461859
530.035, 0.0435849
529.101, 0.0411264
528.169, 0.0388108
527.241, 0.03664
526.316, 0.0346173
525.394, 0.0327465
524.476, 0.0310317
523.56, 0.0294767
522.648, 0.0280841
521.739, 0.0268551
520.833, 0.0257896
519.931, 0.0248861
519.031, 0.0241421
518.135, 0.0235549
517.241, 0.0231219
516.351, 0.022841
515.464, 0.0227114
514.58, 0.0227331
513.699, 0.0229071
512.821, 0.0232349
511.945, 0.0237181
511.073, 0.0243575
510.204, 0.0251533
509.338, 0.0261042
508.475, 0.0272077
507.614, 0.0284602
506.757, 0.0298575
505.902, 0.0313951
505.051, 0.0330687
504.202, 0.0348751
503.356, 0.036812
502.513, 0.0388781
501.672, 0.0410732
500.835, 0.0433975
500, 0.0458512
499.168, 0.048434
498.339, 0.0511445
497.512, 0.05398
496.689, 0.0569366
495.868, 0.0600092
495.05, 0.0631919
494.234, 0.0664788
493.421, 0.0698644
492.611, 0.0733441
491.803, 0.0769147
490.998, 0.0805742
490.196, 0.084322
489.396, 0.0881581
488.599, 0.0920828
487.805, 0.0960961
487.013, 0.100197
486.224, 0.104382
485.437, 0.108649
484.653, 0.112991
483.871, 0.117402
483.092, 0.121876
482.315, 0.126407
481.541, 0.130988
480.769, 0.135616
480, 0.140289
479.233, 0.145006
478.469, 0.149767
477.707, 0.154573
476.948, 0.159426
476.19, 0.164327
475.436, 0.169273
474.684, 0.174262
473.934, 0.179291
473.186, 0.184353
472.441, 0.189442
471.698, 0.194552
470.958, 0.199676
470.219, 0.20481
469.484, 0.209952
468.75, 0.215099
468.019, 0.220254
467.29, 0.225418
466.563, 0.230593
465.839, 0.235782
465.116, 0.240986
464.396, 0.246204
463.679, 0.251434
462.963, 0.256672
462.25, 0.261912
461.538, 0.267148
460.829, 0.272375
460.123, 0.277586
459.418, 0.282779
458.716, 0.287952
458.015, 0.293105
457.317, 0.29824
456.621, 0.303362
