

lambda(nm), Y
1000, 0.951785
996.678, 0.951696
993.377, 0.951489
990.099, 0.951169
986.842, 0.950748
983.607, 0.950249
980.392, 0.949699
977.199, 0.949128
974.026, 0.948568
970.874, 0.948046
967.742, 0.947586
964.63, 0.947206
961.538, 0.946913
958.466, 0.946707
955.414, 0.946578
952.381, 0.946509
949.367, 0.946476
946.372, 0.946449
943.396, 0.9464
940.439, 0.946298
937.5, 0.946118
934.579, 0.945839
931.677, 0.945449
928.793, 0.944943
925.926, 0.944326
923.077, 0.943613
920.245, 0.942823
917.431, 0.941982
914.634, 0.941118
911.854, 0.940259
909.091, 0.939426
906.344, 0.938639
903.614, 0.937903
900.901, 0.937215
898.204, 0.936559
895.522, 0.935908
892.857, 0.93522
890.208, 0.934448
887.574, 0.933536
884.956, 0.932426
882.353, 0.931062
879.765, 0.929393
877.193, 0.927382
874.636, 0.925002
872.093, 0.922249
869.565, 0.919137
867.052, 0.915704
864.553, 0.912007
862.069, 0.908126
859.599, 0.90416
857.143, 0.900218
854.701, 0.896421
852.273, 0.892891
849.858, 0.889749
847.458, 0.887103
845.07, 0.885049
842.697, 0.88366
840.336, 0.882986
837.989, 0.883048
835.655, 0.883839
833.333, 0.885322
831.025, 0.887434
828.729, 0.890088
826.446, 0.893176
824.176, 0.896578
821.918, 0.900166
819.672, 0.90381
817.439, 0.907388
815.217, 0.910785
813.008, 0.913908
810.811, 0.916679
808.625, 0.919047
806.452, 0.920986
804.29, 0.922492
802.139, 0.923587
800, 0.924312
797.872, 0.924722
795.756, 0.924886
793.651, 0.92488
791.557, 0.924778
789.474, 0.924652
787.402, 0.924563
785.34, 0.924561
783.29, 0.92468
781.25, 0.924938
779.221, 0.925335
777.202, 0.925854
775.194, 0.926464
773.196, 0.927123
771.208, 0.927782
769.231, 0.928387
767.263, 0.928884
765.306, 0.929224
763.359, 0.929368
761.421, 0.929286
759.494, 0.928962
757.576, 0.928395
755.668, 0.927597
753.769, 0.926595
751.88, 0.925429
750, 0.924146
748.13, 0.922801
746.269, 0.921451
744.417, 0.920153
742.574, 0.918957
740.741, 0.91791
738.916, 0.917044
737.101, 0.916382
735.294, 0.915935
733.496, 0.915696
731.707, 0.915652
729.927, 0.915773
728.155, 0.916023
726.392, 0.916358
724.638, 0.916733
722.892, 0.917099
721.154, 0.917412
719.424, 0.91763
717.703, 0.91772
715.99, 0.917657
714.286, 0.917426
712.589, 0.917021
710.9, 0.916447
709.22, 0.915714
707.547, 0.914843
705.882, 0.913858
704.225, 0.912786
702.576, 0.911655
700.935, 0.910493
699.301, 0.909322
697.674, 0.908163
696.056, 0.907028
694.444, 0.905925
692.841, 0.904856
691.244, 0.903815
689.655, 0.902792
688.073, 0.901774
686.499, 0.900744
684.932, 0.899685
683.371, 0.89858
681.818, 0.897415
680.272, 0.896178
678.733, 0.89486
677.201, 0.893458
675.676, 0.891973
674.157, 0.89041
672.646, 0.888778
671.141, 0.887087
669.643, 0.88535
668.151, 0.88358
666.667, 0.881788
665.188, 0.879985
663.717, 0.878177
662.252, 0.876367
660.793, 0.874553
659.341, 0.87273
657.895, 0.870888
656.455, 0.869014
655.022, 0.867094
653.595, 0.86511
652.174, 0.863044
650.759, 0.860882
649.351, 0.858607
647.948, 0.856207
646.552, 0.853676
645.161, 0.851007
643.777, 0.848199
642.398, 0.845256
641.026, 0.842184
639.659, 0.83899
638.298, 0.835683
636.943, 0.832274
635.593, 0.82877
634.249, 0.825178
632.911, 0.821501
631.579, 0.817739
630.252, 0.813886
628.931, 0.809933
627.615, 0.805866
626.305, 0.801667
625, 0.797315
623.701, 0.792787
622.407, 0.788058
621.118, 0.783104
619.835, 0.777901
618.557, 0.772428
617.284, 0.766667
616.016, 0.760603
614.754, 0.754225
613.497, 0.747528
612.245, 0.740507
610.998, 0.733163
609.756, 0.725499
608.519, 0.717515
607.287, 0.709217
606.061, 0.700607
604.839, 0.691683
603.622, 0.682443
602.41, 0.672882
601.202, 0.662991
600, 0.652757
598.802, 0.642169
597.61, 0.631211
596.421, 0.619873
595.238, 0.608145
594.059, 0.596025
592.885, 0.583519
591.716, 0.570644
590.551, 0.557429
589.391, 0.543921
588.235, 0.530181
587.084, 0.51629
585.938, 0.502345
584.795, 0.488461
583.658, 0.47477
582.524, 0.461417
581.395, 0.44856
580.271, 0.436362
579.151, 0.424991
578.035, 0.414614
576.923, 0.405393
