

lambda(nm), Y
1000, 0.84835
996.678, 0.855961
993.377, 0.862078
990.099, 0.866524
986.842, 0.869293
983.607, 0.870535
980.392, 0.87052
977.199, 0.869603
974.026, 0.868165
970.874, 0.866571
967.742, 0.865115
964.63, 0.863995
961.538, 0.863287
958.466, 0.862951
955.414, 0.862836
952.381, 0.862719
949.367, 0.862334
946.372, 0.86142
943.396, 0.859759
940.439, 0.857209
937.5, 0.853724
934.579, 0.849369
931.677, 0.844308
928.793, 0.838787
925.926, 0.833107
923.077, 0.827589
920.245, 0.822542
917.431, 0.818227
914.634, 0.814836
911.854, 0.812477
909.091, 0.811173
906.344, 0.810864
903.614, 0.811429
900.901, 0.812703
898.204, 0.814499
895.522, 0.816636
892.857, 0.818946
890.208, 0.821297
887.574, 0.823587
884.956, 0.825748
882.353, 0.827738
879.765, 0.829528
877.193, 0.831094
874.636, 0.832409
872.093, 0.833434
869.565, 0.834125
867.052, 0.83443
864.553, 0.834302
862.069, 0.833707
859.599, 0.832636
857.143, 0.83111
854.701, 0.829182
852.273, 0.826941
849.858, 0.824496
847.458, 0.82197
845.07, 0.819483
842.697, 0.817133
840.336, 0.814987
837.989, 0.813064
835.655, 0.811339
833.333, 0.809741
831.025, 0.808163
828.729, 0.806481
826.446, 0.804568
824.176, 0.80232
821.918, 0.799666
819.672, 0.796584
817.439, 0.793106
815.217, 0.789313
813.008, 0.785323
810.811, 0.781277
808.625, 0.777312
806.452, 0.773545
804.29, 0.770048
802.139, 0.766839
800, 0.763874
797.872, 0.761053
795.756, 0.75823
793.651, 0.755238
791.557, 0.751908
789.474, 0.7481
787.402, 0.743722
785.34, 0.738747
783.29, 0.733219
781.25, 0.72725
779.221, 0.721006
777.202, 0.714679
775.194, 0.708464
773.196, 0.702523
771.208, 0.696961
769.231, 0.691801
767.263, 0.686981
765.306, 0.682351
763.359, 0.677689
761.421, 0.672732
759.494, 0.667209
757.576, 0.660882
755.668, 0.653578
753.769, 0.645227
751.88, 0.635876
750, 0.625695
748.13, 0.614967
746.269, 0.604059
744.417, 0.593386
742.574, 0.583361
740.741, 0.574346
738.916, 0.566608
737.101, 0.56028
735.294, 0.555339
733.496, 0.551598
731.707, 0.548723
729.927, 0.546257
728.155, 0.543664
726.392, 0.540382
724.638, 0.535874
722.892, 0.529682
721.154, 0.521466
719.424, 0.511034
717.703, 0.498359
715.99, 0.483568
714.286, 0.46693
712.589, 0.448822
710.9, 0.429688
709.22, 0.410001
707.547, 0.390223
705.882, 0.370769
704.225, 0.351988
702.576, 0.334154
700.935, 0.317463
699.301, 0.302048
697.674, 0.288002
696.056, 0.275392
694.444, 0.264294
692.841, 0.2548
691.244, 0.24704
689.655, 0.241173
688.073, 0.237392
686.499, 0.235898
684.932, 0.236883
683.371, 0.240505
681.818, 0.246858
680.272, 0.25596
678.733, 0.267731
677.201, 0.281991
675.676, 0.298465
674.157, 0.316796
672.646, 0.336568
671.141, 0.35733
669.643, 0.378627
668.151, 0.400025
666.667, 0.421139
665.188, 0.441647
663.717, 0.461302
662.252, 0.479932
660.793, 0.497437
659.341, 0.513775
657.895, 0.528954
656.455, 0.543007
655.022, 0.555986
653.595, 0.567944
652.174, 0.578928
650.759, 0.588977
649.351, 0.59812
647.948, 0.606382
646.552, 0.613788
645.161, 0.620367
643.777, 0.626162
642.398, 0.63123
641.026, 0.635641
639.659, 0.639476
638.298, 0.64282
636.943, 0.645759
635.593, 0.648365
634.249, 0.650695
632.911, 0.652781
631.579, 0.65463
630.252, 0.656226
628.931, 0.65753
627.615, 0.658493
626.305, 0.659059
625, 0.659175
623.701, 0.658803
622.407, 0.657924
621.118, 0.656539
619.835, 0.654676
618.557, 0.652382
617.284, 0.649719
616.016, 0.646755
614.754, 0.643561
613.497, 0.640196
612.245, 0.636708
610.998, 0.633122
609.756, 0.629445
608.519, 0.625668
607.287, 0.621762
606.061, 0.617696
604.839, 0.613433
603.622, 0.608943
602.41, 0.604207
601.202, 0.599218
600, 0.593987
598.802, 0.588539
597.61, 0.582907
596.421, 0.577135
595.238, 0.571263
594.059, 0.565328
592.885, 0.559358
591.716, 0.553365
590.551, 0.547351
589.391, 0.541302
588.235, 0.535196
587.084, 0.529005
585.938, 0.522699
584.795, 0.516252
583.658, 0.509649
582.524, 0.502882
581.395, 0.495957
580.271, 0.48889
579.151, 0.481706
578.035, 0.474434
576.923, 0.467106
575.816, 0.459747
574.713, 0.452378
573.614, 0.445009
572.519, 0.437641
571.429, 0.430265
570.342, 0.422865
569.26, 0.415422
568.182, 0.407914
567.108, 0.400325
566.038, 0.392643
564.972, 0.384865
563.91, 0.376997
562.852, 0.369053
561.798, 0.361052
560.748, 0.353019
559.701, 0.344978
558.659, 0.33695
557.621, 0.328952
556.586, 0.320996
555.556, 0.313083
554.529, 0.30521
553.506, 0.297367
552.486, 0.289545
551.471, 0.28173
550.459, 0.273913
549.451, 0.26609
548.446, 0.258261
547.445, 0.250434
546.448, 0.242621
545.455, 0.234841
544.465, 0.227113
543.478, 0.219457
542.495, 0.211892
541.516, 0.204431
540.541, 0.197085
539.568, 0.189856
538.6, 0.182747
