

lambda(nm), Y
1000, 0.938702
996.678, 0.936276
993.377, 0.933716
990.099, 0.931064
986.842, 0.928367
983.607, 0.925681
980.392, 0.923069
977.199, 0.920598
974.026, 0.918336
970.874, 0.916351
967.742, 0.914706
964.63, 0.913461
961.538, 0.912664
958.466, 0.912354
955.414, 0.912556
952.381, 0.913283
949.367, 0.914529
946.372, 0.916276
943.396, 0.918489
940.439, 0.92112
937.5, 0.924109
934.579, 0.927382
931.677, 0.930861
928.793, 0.93446
925.926, 0.938093
923.077, 0.941672
920.245, 0.945116
917.431, 0.948348
914.634, 0.951303
911.854, 0.953927
909.091, 0.956178
906.344, 0.95803
903.614, 0.959472
900.901, 0.960507
898.204, 0.961153
895.522, 0.961442
892.857, 0.961415
890.208, 0.961124
887.574, 0.960626
884.956, 0.959984
882.353, 0.95926
879.765, 0.958515
877.193, 0.957805
874.636, 0.957182
872.093, 0.956688
869.565, 0.956353
867.052, 0.9562
864.553, 0.956238
862.069, 0.956466
859.599, 0.956872
857.143, 0.957434
854.701, 0.958124
852.273, 0.958906
849.858, 0.959741
847.458, 0.960586
845.07, 0.961402
842.697, 0.96215
840.336, 0.962795
837.989, 0.96331
835.655, 0.963672
833.333, 0.963871
831.025, 0.963901
828.729, 0.963768
826.446, 0.963483
824.176, 0.963067
821.918, 0.962546
819.672, 0.961952
817.439, 0.961318
815.217, 0.960679
813.008, 0.960069
810.811, 0.959522
808.625, 0.959064
806.452, 0.958718
804.29, 0.958502
802.139, 0.958423
800, 0.958483
797.872, 0.958677
795.756, 0.958992
793.651, 0.959407
791.557, 0.9599
789.474, 0.960441
787.402, 0.961
785.34, 0.961546
783.29, 0.962047
781.25, 0.962476
779.221, 0.962809
777.202, 0.963026
775.194, 0.963115
773.196, 0.963067
771.208, 0.962884
769.231, 0.962572
767.263, 0.962144
765.306, 0.96162
763.359, 0.961021
761.421, 0.960376
759.494, 0.959712
757.576, 0.959058
755.668, 0.958444
753.769, 0.957893
751.88, 0.957428
750, 0.957067
748.13, 0.956821
746.269, 0.956696
744.417, 0.956692
742.574, 0.956801
740.741, 0.957012
738.916, 0.957306
737.101, 0.957665
735.294, 0.958062
733.496, 0.958472
731.707, 0.958871
729.927, 0.959234
728.155, 0.959537
726.392, 0.959764
724.638, 0.959899
722.892, 0.959935
721.154, 0.959867
719.424, 0.959698
717.703, 0.959435
715.99, 0.959091
714.286, 0.958683
712.589, 0.958229
710.9, 0.957753
709.22, 0.957275
707.547, 0.956818
705.882, 0.956403
704.225, 0.956045
702.576, 0.955757
700.935, 0.955549
699.301, 0.955422
697.674, 0.955374
696.056, 0.955398
694.444, 0.955478
692.841, 0.955599
691.244, 0.955738
689.655, 0.955872
688.073, 0.955976
686.499, 0.956024
684.932, 0.955993
683.371, 0.955863
681.818, 0.955615
680.272, 0.955237
678.733, 0.954724
677.201, 0.954073
675.676, 0.95329
674.157, 0.952387
672.646, 0.951379
671.141, 0.950288
669.643, 0.94914
668.151, 0.947961
666.667, 0.94678
665.188, 0.945625
663.717, 0.944522
662.252, 0.943494
660.793, 0.94256
659.341, 0.941734
657.895, 0.941022
656.455, 0.940425
655.022, 0.939937
653.595, 0.939546
652.174, 0.939234
650.759, 0.938976
649.351, 0.938747
647.948, 0.938516
646.552, 0.938252
645.161, 0.937925
643.777, 0.937507
642.398, 0.936973
641.026, 0.9363
639.659, 0.935476
638.298, 0.934489
636.943, 0.933338
635.593, 0.932027
634.249, 0.930563
632.911, 0.928963
631.579, 0.927243
630.252, 0.925426
628.931, 0.923531
627.615, 0.921579
626.305, 0.919588
625, 0.917568
623.701, 0.915527
622.407, 0.913462
621.118, 0.911362
619.835, 0.909206
618.557, 0.906965
617.284, 0.904597
616.016, 0.902056
614.754, 0.899284
613.497, 0.896222
612.245, 0.892805
610.998, 0.888969
609.756, 0.884651
608.519, 0.879795
607.287, 0.874353
606.061, 0.868287
604.839, 0.861577
603.622, 0.854215
602.41, 0.846215
601.202, 0.837609
600, 0.828449
598.802, 0.81881
597.61, 0.808785
596.421, 0.798484
595.238, 0.788035
594.059, 0.777581
592.885, 0.76727
591.716, 0.757262
590.551, 0.747715
589.391, 0.738788
588.235, 0.73063
587.084, 0.723382
585.938, 0.71717
584.795, 0.712102
583.658, 0.708263
582.524, 0.705717
581.395, 0.704501
580.271, 0.704625
579.151, 0.706075
578.035, 0.708809
576.923, 0.712762
575.816, 0.717847
574.713, 0.723955
573.614, 0.730963
572.519, 0.738736
571.429, 0.74713
570.342, 0.755994
569.26, 0.765181
568.182, 0.774543
567.108, 0.783942
566.038, 0.79325
564.972, 0.802351
563.91, 0.811146
562.852, 0.819552
561.798, 0.827504
560.748, 0.834955
559.701, 0.841877
558.659, 0.848258
557.621, 0.854102
556.586, 0.859427
555.556, 0.864262
554.529, 0.868646
