

lambda(nm), Y
1000, 0.741132
996.678, 0.74601
993.377, 0.748728
990.099, 0.749601
986.842, 0.749043
983.607, 0.747517
980.392, 0.745474
977.199, 0.743308
974.026, 0.741313
970.874, 0.739667
967.742, 0.738426
964.63, 0.737537
961.538, 0.736862
958.466, 0.736211
955.414, 0.73538
952.381, 0.734185
949.367, 0.732489
946.372, 0.730223
943.396, 0.72739
940.439, 0.724065
937.5, 0.720378
934.579, 0.716491
931.677, 0.712578
928.793, 0.708793
925.926, 0.705254
923.077, 0.702027
920.245, 0.699119
917.431, 0.696481
914.634, 0.694019
911.854, 0.691609
909.091, 0.689119
906.344, 0.686426
903.614, 0.683437
900.901, 0.680097
898.204, 0.676399
895.522, 0.672378
892.857, 0.668109
890.208, 0.663688
887.574, 0.659219
884.956, 0.654801
882.353, 0.650507
879.765, 0.646381
877.193, 0.642429
874.636, 0.638623
872.093, 0.634906
869.565, 0.631207
867.052, 0.627452
864.553, 0.623576
862.069, 0.619542
859.599, 0.615339
857.143, 0.610996
854.701, 0.60657
852.273, 0.602144
849.858, 0.597812
847.458, 0.593667
845.07, 0.589786
842.697, 0.586216
840.336, 0.582967
837.989, 0.580009
835.655, 0.577271
833.333, 0.574652
831.025, 0.572031
828.729, 0.56928
826.446, 0.566284
824.176, 0.56295
821.918, 0.559221
819.672, 0.555081
817.439, 0.550558
815.217, 0.545716
813.008, 0.540646
810.811, 0.535453
808.625, 0.530245
806.452, 0.525111
804.29, 0.520117
802.139, 0.515293
800, 0.510631
797.872, 0.50609
795.756, 0.501599
793.651, 0.497072
791.557, 0.492417
789.474, 0.487556
787.402, 0.482428
785.34, 0.477008
783.29, 0.471302
781.25, 0.465351
779.221, 0.459225
777.202, 0.453013
775.194, 0.446811
773.196, 0.440706
771.208, 0.43477
769.231, 0.429044
767.263, 0.423538
765.306, 0.418226
763.359, 0.413054
761.421, 0.407949
759.494, 0.402828
757.576, 0.397615
755.668, 0.392252
753.769, 0.386712
751.88, 0.381007
750, 0.375189
748.13, 0.369346
746.269, 0.363598
744.417, 0.358083
742.574, 0.352939
740.741, 0.348292
738.916, 0.344238
737.101, 0.340828
735.294, 0.338065
733.496, 0.335894
731.707, 0.334212
729.927, 0.332867
728.155, 0.331678
726.392, 0.330447
724.638, 0.328975
722.892, 0.327086
721.154, 0.324631
719.424, 0.321508
717.703, 0.317667
715.99, 0.313107
714.286, 0.307877
712.589, 0.302069
710.9, 0.295802
709.22, 0.289212
707.547, 0.282438
705.882, 0.275611
704.225, 0.268841
702.576, 0.262212
700.935, 0.255777
699.301, 0.249558
697.674, 0.243552
696.056, 0.237731
694.444, 0.232056
692.841, 0.22648
691.244, 0.220957
689.655, 0.215448
688.073, 0.209925
686.499, 0.204373
684.932, 0.198792
683.371, 0.193192
681.818, 0.187593
680.272, 0.182019
678.733, 0.176495
677.201, 0.171044
675.676, 0.165683
674.157, 0.160421
672.646, 0.155262
671.141, 0.150202
669.643, 0.145231
668.151, 0.140337
666.667, 0.13551
665.188, 0.130737
663.717, 0.126011
662.252, 0.12133
660.793, 0.116695
659.341, 0.112112
657.895, 0.107589
656.455, 0.103137
655.022, 0.0987662
653.595, 0.0944867
652.174, 0.0903058
650.759, 0.0862281
649.351, 0.0822554
647.948, 0.078387
646.552, 0.0746204
645.161, 0.070952
643.777, 0.0673784
642.398, 0.0638968
641.026, 0.0605061
639.659, 0.0572069
638.298, 0.0540016
636.943, 0.0508943
635.593, 0.0478898
634.249, 0.0449934
632.911, 0.0422104
631.579, 0.0395451
630.252, 0.0370006
628.931, 0.0345789
627.615, 0.0322806
626.305, 0.0301055
625, 0.0280527
623.701, 0.026121
622.407, 0.0243097
621.118, 0.0226182
619.835, 0.0210467
618.557, 0.019596
617.284, 0.0182672
616.016, 0.0170616
614.754, 0.0159806
613.497, 0.0150248
612.245, 0.0141944
610.998, 0.0134889
609.756, 0.0129071
608.519, 0.0124472
607.287, 0.0121073
606.061, 0.0118855
604.839, 0.0117806
603.622, 0.0117917
602.41, 0.011919
601.202, 0.0121635
600, 0.0125272
598.802, 0.0130122
597.61, 0.0136212
596.421, 0.0143564
595.238, 0.0152197
594.059, 0.0162121
592.885, 0.0173338
591.716, 0.0185839
590.551, 0.0199608
589.391, 0.0214622
588.235, 0.0230858
587.084, 0.024829
585.938, 0.0266899
584.795, 0.0286668
583.658, 0.0307591
582.524, 0.0329662
581.395, 0.0352885
580.271, 0.0377262
579.151, 0.0402793
578.035, 0.0429475
576.923, 0.0457296
575.816, 0.0486236
574.713, 0.0516264
573.614, 0.0547343
572.519, 0.057943
571.429, 0.0612479
570.342, 0.0646447
569.26, 0.0681295
568.182, 0.0716989
567.108, 0.0753505
566.038, 0.0790827
564.972, 0.0828942
563.91, 0.0867839
562.852, 0.0907505
561.798, 0.0947916
560.748, 0.0989039
559.701, 0.103082
558.659, 0.107319
557.621, 0.111606
556.586, 0.115933
555.556, 0.120287
554.529, 0.124656
553.506, 0.129025
552.486, 0.13338
551.471, 0.137708
550.459, 0.141993
549.451, 0.146221
548.446, 0.150376
547.445, 0.154439
546.448, 0.15839
545.455, 0.162207
544.465, 0.165862
543.478, 0.169324
542.495, 0.172558
541.516, 0.175527
540.541, 0.178191
539.568, 0.18051
538.6, 0.182446
537.634, 0.183965
536.673, 0.185043
535.714, 0.185662
534.759, 0.185819
533.808, 0.185523
532.86, 0.184799
531.915, 0.183688
530.973, 0.182244
530.035, 0.180537
529.101, 0.178646
528.169, 0.176659
527.241, 0.174669
526.316, 0.17277
525.394, 0.171054
524.476, 0.169604
523.56, 0.168495
522.648, 0.167791
521.739, 0.167542
520.833, 0.16778
519.931, 0.168524
519.031, 0.16978
518.135, 0.171538
517.241, 0.173779
516.351, 0.176471
515.464, 0.17958
514.58, 0.183064
513.699, 0.186882
512.821, 0.190991
511.945, 0.19535
511.073, 0.199923
510.204, 0.204676
509.338, 0.209578
508.475, 0.214607
507.614, 0.219739
506.757, 0.224957
505.902, 0.230247
505.051, 0.235594
504.202, 0.240988
503.356, 0.246417
502.513, 0.25187
501.672, 0.257338
500.835, 0.26281
500, 0.268277
499.168, 0.273731
498.339, 0.279164
497.512, 0.28457
496.689, 0.289943
495.868, 0.29528
495.05, 0.30058
494.234, 0.305841
493.421, 0.311064
492.611, 0.31625
491.803, 0.321402
490.998, 0.326519
490.196, 0.331604
489.396, 0.336656
488.599, 0.341676
487.805, 0.346661
487.013, 0.351611
486.224, 0.356521
485.437, 0.36139
484.653, 0.366216
483.871, 0.370996
483.092, 0.375729
482.315, 0.380416
481.541, 0.385057
480.769, 0.389654
480, 0.394209
479.233, 0.398725
478.469, 0.403205
477.707, 0.407652
476.948, 0.412067
476.19, 0.416451
475.436, 0.420804
474.684, 0.425126
473.934, 0.429414
473.186, 0.433666
472.441, 0.437881
471.698, 0.442056
470.958, 0.446189
470.219, 0.450281
469.484, 0.45433
468.75, 0.458339
468.019, 0.462309
467.29, 0.466243
466.563, 0.470145
465.839, 0.474016
465.116, 0.47786
464.396, 0.481677
463.679, 0.485469
462.963, 0.489235
462.25, 0.492974
461.538, 0.496683
460.829, 0.500361
460.123, 0.504005
459.418, 0.507612
458.716, 0.511182
458.015, 0.514713
457.317, 0.518207
456.621, 0.521664
455.927, 0.525088
455.235, 0.528481
454.545, 0.531845
453.858, 0.535184
453.172, 0.5385
452.489, 0.541793
451.807, 0.545064
451.128, 0.548311
450.45, 0.551534
449.775, 0.554729
449.102, 0.557894
448.43, 0.561026
447.761, 0.564122
447.094, 0.567182
446.429, 0.570205
445.765, 0.573192
445.104, 0.576144
444.444, 0.579063
443.787, 0.581953
443.131, 0.584817
442.478, 0.587655
441.826, 0.59047
441.176, 0.593262
440.529, 0.59603
439.883, 0.598773
439.239, 0.601488
438.596, 0.604172
437.956, 0.606821
437.318, 0.609432
436.681, 0.612002
436.047, 0.614531
435.414, 0.617017
434.783, 0.619461
434.153, 0.621864
433.526, 0.624228
432.9, 0.626555
432.277, 0.628847
431.655, 0.631104
431.034, 0.633326
430.416, 0.635512
429.799, 0.63766
429.185, 0.639766
428.571, 0.641825
427.96, 0.643833
427.35, 0.645784
426.743, 0.647673
426.136, 0.649497
425.532, 0.651252
424.929, 0.652935
424.328, 0.654545
423.729, 0.656082
423.131, 0.657543
422.535, 0.658928
421.941, 0.660235
421.348, 0.661462
420.757, 0.662603
420.168, 0.663654
419.58, 0.664606
418.994, 0.665453
418.41, 0.666184
417.827, 0.666791
417.246, 0.667264
416.667, 0.667595
416.089, 0.667775
415.512, 0.667799
414.938, 0.667661
414.365, 0.667358
413.793, 0.666886
413.223, 0.666245
412.655, 0.665434
412.088, 0.664453
411.523, 0.663304
410.959, 0.66199
410.397, 0.660516
409.836, 0.658887
409.277, 0.657116
408.719, 0.655214
408.163, 0.6532
407.609, 0.651098
407.056, 0.648935
406.504, 0.646746
405.954, 0.644567
405.405, 0.642442
404.858, 0.640413
404.313, 0.638527
403.769, 0.636827
403.226, 0.635356
402.685, 0.634151
402.145, 0.633243
401.606, 0.632657
401.07, 0.63241
400.534, 0.63251
400, 0.632957
399.467, 0.633745
398.936, 0.634859
398.406, 0.636281
397.878, 0.637986
397.351, 0.639949
396.825, 0.642141
396.301, 0.644535
395.778, 0.647102
395.257, 0.649816
394.737, 0.65265
394.218, 0.65558
393.701, 0.658585
393.185, 0.661643
392.67, 0.664735
392.157, 0.667843
391.645, 0.670951
391.134, 0.674044
390.625, 0.677109
390.117, 0.680133
389.61, 0.683109
389.105, 0.686027
388.601, 0.688883
388.098, 0.691673
387.597, 0.694395
387.097, 0.697047
386.598, 0.699629
386.1, 0.702142
385.604, 0.704586
385.109, 0.70696
384.615, 0.709263
384.123, 0.711492
383.632, 0.713645
383.142, 0.715716
382.653, 0.717701
382.166, 0.719595
381.679, 0.721393
381.194, 0.723092
380.711, 0.724688
380.228, 0.726178
379.747, 0.727561
379.267, 0.728837
378.788, 0.730005
378.31, 0.731066
377.834, 0.73202
377.358, 0.732865
376.884, 0.7336
376.412, 0.734221
375.94, 0.734723
375.469, 0.7351
375, 0.735346
374.532, 0.735451
374.065, 0.735407
373.599, 0.735206
373.134, 0.734841
372.671, 0.734303
372.208, 0.733587
371.747, 0.732688
371.287, 0.731599
370.828, 0.730318
370.37, 0.728839
369.914, 0.727159
369.458, 0.725272
369.004, 0.723174
368.55, 0.720858
368.098, 0.718318
367.647, 0.715547
367.197, 0.712539
366.748, 0.709289
366.3, 0.705793
365.854, 0.702053
365.408, 0.698071
364.964, 0.693854
364.52, 0.689415
364.078, 0.684773
363.636, 0.679948
363.196, 0.674971
362.757, 0.669874
362.319, 0.664696
361.882, 0.659479
361.446, 0.65427
361.011, 0.649119
360.577, 0.644079
360.144, 0.639203
359.712, 0.634546
359.281, 0.630164
358.852, 0.62611
358.423, 0.622435
357.995, 0.619188
357.569, 0.616411
357.143, 0.614141
356.718, 0.612408
