

lambda(nm), Y
1000, 0.905531
996.678, 0.905586
993.377, 0.905504
990.099, 0.905096
986.842, 0.904206
983.607, 0.902741
980.392, 0.900682
977.199, 0.898086
974.026, 0.895084
970.874, 0.891857
967.742, 0.888613
964.63, 0.885558
961.538, 0.882871
958.466, 0.88068
955.414, 0.879049
952.381, 0.877978
949.367, 0.877407
946.372, 0.877234
943.396, 0.877334
940.439, 0.877587
937.5, 0.877889
934.579, 0.878174
931.677, 0.878419
928.793, 0.878638
925.926, 0.878873
923.077, 0.879181
920.245, 0.87961
917.431, 0.880186
914.634, 0.880898
911.854, 0.881692
909.091, 0.882475
906.344, 0.883127
903.614, 0.883521
900.901, 0.883537
898.204, 0.883093
895.522, 0.882152
892.857, 0.88074
890.208, 0.87894
887.574, 0.876886
884.956, 0.874742
882.353, 0.872679
879.765, 0.870847
877.193, 0.869353
874.636, 0.868243
872.093, 0.867491
869.565, 0.867005
867.052, 0.866641
864.553, 0.866221
862.069, 0.865568
859.599, 0.86453
857.143, 0.863009
854.701, 0.860976
852.273, 0.858478
849.858, 0.855632
847.458, 0.852604
845.07, 0.849588
842.697, 0.846771
840.336, 0.844299
837.989, 0.842257
835.655, 0.84065
833.333, 0.8394
831.025, 0.838355
828.729, 0.837316
826.446, 0.836066
824.176, 0.834402
821.918, 0.832174
819.672, 0.829308
817.439, 0.825817
815.217, 0.821806
813.008, 0.817454
810.811, 0.812985
808.625, 0.808633
806.452, 0.8046
804.29, 0.801026
802.139, 0.797957
800, 0.795335
797.872, 0.793007
795.756, 0.79074
793.651, 0.788259
791.557, 0.785291
789.474, 0.781608
787.402, 0.777066
785.34, 0.771632
783.29, 0.765392
781.25, 0.758541
779.221, 0.751357
777.202, 0.74415
775.194, 0.737214
773.196, 0.730774
771.208, 0.724937
769.231, 0.719666
767.263, 0.714773
765.306, 0.709932
763.359, 0.704721
761.421, 0.698681
759.494, 0.691386
757.576, 0.682511
755.668, 0.671896
753.769, 0.659587
751.88, 0.645849
750, 0.631153
748.13, 0.616128
746.269, 0.60149
744.417, 0.587951
742.574, 0.576124
740.741, 0.566434
738.916, 0.559047
737.101, 0.553832
735.294, 0.550354
733.496, 0.547916
731.707, 0.545622
729.927, 0.542483
728.155, 0.537533
726.392, 0.529951
724.638, 0.519166
722.892, 0.504948
721.154, 0.48745
719.424, 0.467218
717.703, 0.445152
715.99, 0.422429
714.286, 0.400394
712.589, 0.380436
710.9, 0.363851
709.22, 0.351727
707.547, 0.34484
705.882, 0.343599
704.225, 0.348012
702.576, 0.357711
700.935, 0.372001
699.301, 0.389941
697.674, 0.410447
696.056, 0.432397
694.444, 0.454731
692.841, 0.476531
691.244, 0.49708
689.655, 0.51589
688.073, 0.532698
686.499, 0.547443
684.932, 0.560216
683.371, 0.571203
681.818, 0.580626
680.272, 0.588687
678.733, 0.59553
677.201, 0.601216
675.676, 0.605721
674.157, 0.608947
672.646, 0.610755
671.141, 0.610995
669.643, 0.609553
668.151, 0.60638
666.667, 0.601526
665.188, 0.595146
663.717, 0.58751
662.252, 0.578984
660.793, 0.570007
659.341, 0.561059
657.895, 0.552626
656.455, 0.545165
655.022, 0.539071
653.595, 0.534658
652.174, 0.532143
650.759, 0.531644
649.351, 0.53318
647.948, 0.536689
646.552, 0.542038
645.161, 0.549039
643.777, 0.557471
642.398, 0.567088
641.026, 0.577634
639.659, 0.588849
638.298, 0.600479
636.943, 0.612273
635.593, 0.623994
634.249, 0.635415
632.911, 0.646333
631.579, 0.656567
630.252, 0.665969
628.931, 0.674429
627.615, 0.681878
626.305, 0.688294
625, 0.693701
623.701, 0.698162
622.407, 0.701772
621.118, 0.704648
619.835, 0.706916
618.557, 0.708696
617.284, 0.710093
616.016, 0.711186
614.754, 0.712024
613.497, 0.712624
612.245, 0.712975
610.998, 0.713046
609.756, 0.712797
608.519, 0.712186
607.287, 0.711182
606.061, 0.709772
604.839, 0.707966
603.622, 0.705795
602.41, 0.703313
601.202, 0.700583
600, 0.697677
598.802, 0.694659
597.61, 0.691583
596.421, 0.68848
595.238, 0.685363
594.059, 0.682219
592.885, 0.679017
591.716, 0.675714
590.551, 0.672262
589.391, 0.668618
588.235, 0.664748
587.084, 0.660637
585.938, 0.656288
584.795, 0.651721
583.658, 0.646976
582.524, 0.642098
581.395, 0.637137
580.271, 0.632137
579.151, 0.627131
578.035, 0.622136
576.923, 0.617155
575.816, 0.61217
574.713, 0.607154
573.614, 0.602073
572.519, 0.596889
571.429, 0.591571
570.342, 0.586101
569.26, 0.580469
568.182, 0.574685
567.108, 0.568768
566.038, 0.562749
564.972, 0.556661
563.91, 0.550537
562.852, 0.544404
561.798, 0.538275
