

lambda(nm), Y
1000, 0.90288
996.678, 0.901697
993.377, 0.900837
990.099, 0.900349
986.842, 0.900251
983.607, 0.900517
980.392, 0.901086
977.199, 0.901859
974.026, 0.902713
970.874, 0.903513
967.742, 0.904127
964.63, 0.904444
961.538, 0.904382
958.466, 0.903904
955.414, 0.903022
952.381, 0.901792
949.367, 0.900313
946.372, 0.898714
943.396, 0.897135
940.439, 0.895717
937.5, 0.894579
934.579, 0.89381
931.677, 0.893454
928.793, 0.893506
925.926, 0.89392
923.077, 0.894605
920.245, 0.895449
917.431, 0.896324
914.634, 0.897108
911.854, 0.897698
909.091, 0.898021
906.344, 0.898045
903.614, 0.897774
900.901, 0.897252
898.204, 0.896553
895.522, 0.895762
892.857, 0.894971
890.208, 0.894261
887.574, 0.893686
884.956, 0.893273
882.353, 0.893016
879.765, 0.892874
877.193, 0.892784
874.636, 0.892667
872.093, 0.892443
869.565, 0.892043
867.052, 0.891418
864.553, 0.89055
862.069, 0.889455
859.599, 0.888177
857.143, 0.886787
854.701, 0.885368
852.273, 0.884008
849.858, 0.882782
847.458, 0.881743
845.07, 0.880916
842.697, 0.88029
840.336, 0.879821
837.989, 0.879442
835.655, 0.879066
833.333, 0.878605
831.025, 0.877979
828.729, 0.877131
826.446, 0.876033
824.176, 0.874694
821.918, 0.873155
819.672, 0.871486
817.439, 0.869776
815.217, 0.868116
813.008, 0.866591
810.811, 0.86526
808.625, 0.864151
806.452, 0.863254
804.29, 0.862519
802.139, 0.861867
800, 0.861196
797.872, 0.860395
795.756, 0.859365
793.651, 0.858028
791.557, 0.856344
789.474, 0.854314
787.402, 0.851984
785.34, 0.849437
783.29, 0.846784
781.25, 0.844149
779.221, 0.841646
777.202, 0.839366
775.194, 0.837358
773.196, 0.835621
771.208, 0.834099
769.231, 0.832686
767.263, 0.831237
765.306, 0.829584
763.359, 0.827558
761.421, 0.825015
759.494, 0.821849
757.576, 0.818019
755.668, 0.813548
753.769, 0.808529
751.88, 0.803118
750, 0.797513
748.13, 0.791937
746.269, 0.786606
744.417, 0.781706
742.574, 0.777369
740.741, 0.773652
738.916, 0.770535
737.101, 0.767914
735.294, 0.765621
733.496, 0.763436
731.707, 0.761119
729.927, 0.75844
728.155, 0.755208
726.392, 0.7513
724.638, 0.746678
722.892, 0.7414
721.154, 0.735617
719.424, 0.729565
717.703, 0.723536
715.99, 0.717855
714.286, 0.712842
712.589, 0.70878
710.9, 0.705883
709.22, 0.704275
707.547, 0.703973
705.882, 0.704888
704.225, 0.706831
702.576, 0.709528
700.935, 0.712654
699.301, 0.715856
697.674, 0.718788
696.056, 0.721143
694.444, 0.722671
692.841, 0.723201
691.244, 0.722648
689.655, 0.721006
688.073, 0.718342
686.499, 0.714779
684.932, 0.710473
683.371, 0.705588
681.818, 0.700279
680.272, 0.694672
678.733, 0.688853
677.201, 0.682858
675.676, 0.676681
674.157, 0.670274
672.646, 0.663561
671.141, 0.656453
669.643, 0.648857
668.151, 0.640692
666.667, 0.6319
665.188, 0.622448
663.717, 0.612334
662.252, 0.601582
660.793, 0.590242
659.341, 0.578379
657.895, 0.566072
656.455, 0.553408
655.022, 0.540477
653.595, 0.527378
652.174, 0.514215
650.759, 0.50111
649.351, 0.488202
647.948, 0.475656
646.552, 0.463667
645.161, 0.452457
643.777, 0.442278
642.398, 0.4334
641.026, 0.426095
639.659, 0.420631
638.298, 0.417245
636.943, 0.416126
635.593, 0.417404
634.249, 0.421128
632.911, 0.427264
631.579, 0.435688
630.252, 0.446192
628.931, 0.458495
627.615, 0.472259
626.305, 0.487108
625, 0.502652
623.701, 0.518509
622.407, 0.534326
621.118, 0.549797
619.835, 0.564672
618.557, 0.578771
617.284, 0.591976
616.016, 0.60423
614.754, 0.615532
613.497, 0.625917
612.245, 0.635449
610.998, 0.644207
609.756, 0.652269
608.519, 0.659708
607.287, 0.666585
606.061, 0.672944
604.839, 0.678815
603.622, 0.684215
602.41, 0.689156
601.202, 0.693644
600, 0.69769
598.802, 0.701308
597.61, 0.70452
596.421, 0.707355
595.238, 0.709847
594.059, 0.712033
592.885, 0.713947
591.716, 0.715621
590.551, 0.717076
589.391, 0.718326
588.235, 0.719374
587.084, 0.720214
585.938, 0.720834
584.795, 0.72122
583.658, 0.721357
582.524, 0.721236
581.395, 0.720854
580.271, 0.72022
579.151, 0.71935
578.035, 0.71827
576.923, 0.717012
575.816, 0.71561
574.713, 0.714099
573.614, 0.712508
572.519, 0.710861
571.429, 0.709169
570.342, 0.707436
569.26, 0.705656
568.182, 0.703814
567.108, 0.701893
566.038, 0.699872
564.972, 0.697734
563.91, 0.695466
562.852, 0.693065
561.798, 0.690532
560.748, 0.68788
559.701, 0.685125
558.659, 0.68229
557.621, 0.679398
556.586, 0.676469
555.556, 0.673521
554.529, 0.670563
553.506, 0.667598
552.486, 0.664621
551.471, 0.661618
550.459, 0.658575
549.451, 0.655473
548.446, 0.652294
547.445, 0.649024
546.448, 0.645654
545.455, 0.642182
544.465, 0.638614
543.478, 0.634959
542.495, 0.631234
541.516, 0.627455
540.541, 0.62364
539.568, 0.619803
538.6, 0.615954
537.634, 0.612097
536.673, 0.608229
535.714, 0.604343
534.759, 0.600424
533.808, 0.59646
532.86, 0.592433
531.915, 0.588331
530.973, 0.584144
530.035, 0.579867
529.101, 0.575502
528.169, 0.571054
527.241, 0.566536
526.316, 0.56196
525.394, 0.55734
524.476, 0.55269
523.56, 0.548019
522.648, 0.543332
521.739, 0.538631
520.833, 0.533909
519.931, 0.529159
519.031, 0.524369
518.135, 0.519526
517.241, 0.514618
516.351, 0.509637
515.464, 0.504576
514.58, 0.499435
513.699, 0.494217
512.821, 0.48893
511.945, 0.483584
511.073, 0.478191
510.204, 0.472763
509.338, 0.467309
508.475, 0.461836
507.614, 0.456346
506.757, 0.450839
505.902, 0.445308
505.051, 0.439746
504.202, 0.434145
503.356, 0.428493
502.513, 0.422784
501.672, 0.417012
500.835, 0.411175
500, 0.405275
499.168, 0.399318
498.339, 0.393311
497.512, 0.387266
496.689, 0.381191
495.868, 0.375098
495.05, 0.368992
494.234, 0.36288
493.421, 0.356763
492.611, 0.350638
491.803, 0.344502
490.998, 0.33835
490.196, 0.332174
489.396, 0.32597
488.599, 0.319733
487.805, 0.313461
487.013, 0.307157
486.224, 0.300825
485.437, 0.294471
484.653, 0.288105
483.871, 0.281737
483.092, 0.275376
482.315, 0.269031
481.541, 0.262707
480.769, 0.256409
480, 0.250139
479.233, 0.243896
478.469, 0.237678
477.707, 0.231482
476.948, 0.225305
476.19, 0.219146
475.436, 0.213005
474.684, 0.206884
473.934, 0.200787
473.186, 0.194721
472.441, 0.188694
471.698, 0.182716
470.958, 0.176796
470.219, 0.170943
469.484, 0.165163
468.75, 0.159464
468.019, 0.153848
467.29, 0.148319
466.563, 0.142876
465.839, 0.137519
465.116, 0.13225
464.396, 0.127067
463.679, 0.121973
462.963, 0.11697
462.25, 0.112063
461.538, 0.107258
460.829, 0.102563
460.123, 0.0979858
459.418, 0.0935346
458.716, 0.0892171
458.015, 0.0850404
457.317, 0.0810099
456.621, 0.0771296
455.927, 0.0734024
455.235, 0.0698297
454.545, 0.0664124
453.858, 0.063151
453.172, 0.0600464
452.489, 0.0571001
451.807, 0.0543147
451.128, 0.0516937
450.45, 0.0492416
449.775, 0.0469637
449.102, 0.0448657
448.43, 0.0429529
447.761, 0.0412303
447.094, 0.039702
446.429, 0.0383706
445.765, 0.0372378
445.104, 0.0363039
444.444, 0.0355682
443.787, 0.0350298
443.131, 0.0346871
442.478, 0.0345392
441.826, 0.0345856
441.176, 0.0348263
440.529, 0.0352624
439.883, 0.0358956
439.239, 0.0367277
438.596, 0.0377608
437.956, 0.0389966
437.318, 0.0404359
436.681, 0.0420785
436.047, 0.043923
435.414, 0.0459669
434.783, 0.0482064
434.153, 0.0506372
433.526, 0.0532545
432.9, 0.0560536
432.277, 0.0590303
431.655, 0.0621808
431.034, 0.0655027
430.416, 0.0689941
429.799, 0.0726538
429.185, 0.0764811
428.571, 0.0804752
427.96, 0.084635
427.35, 0.0889582
426.743, 0.0934417
426.136, 0.0980809
425.532, 0.10287
424.929, 0.107803
424.328, 0.112871
423.729, 0.118068
423.131, 0.123386
422.535, 0.128817
421.941, 0.134358
421.348, 0.140002
420.757, 0.145748
420.168, 0.151593
419.58, 0.157535
418.994, 0.163573
418.41, 0.169706
417.827, 0.175931
417.246, 0.182244
416.667, 0.188641
416.089, 0.195116
415.512, 0.20166
414.938, 0.208266
414.365, 0.214925
413.793, 0.221629
413.223, 0.22837
412.655, 0.235142
412.088, 0.241941
411.523, 0.248763
410.959, 0.255606
410.397, 0.262471
409.836, 0.269356
409.277, 0.276261
408.719, 0.283187
408.163, 0.29013
407.609, 0.297088
407.056, 0.304055
406.504, 0.311026
405.954, 0.317992
405.405, 0.324946
404.858, 0.331878
404.313, 0.338783
403.769, 0.345652
403.226, 0.352482
402.685, 0.359269
402.145, 0.366011
401.606, 0.372708
401.07, 0.379362
400.534, 0.385972
400, 0.392542
399.467, 0.399069
398.936, 0.405552
398.406, 0.411988
397.878, 0.418372
397.351, 0.424696
396.825, 0.430953
396.301, 0.437134
395.778, 0.443231
395.257, 0.449236
394.737, 0.455142
394.218, 0.460945
393.701, 0.466642
393.185, 0.472232
392.67, 0.477714
392.157, 0.483091
391.645, 0.488363
391.134, 0.49353
390.625, 0.498592
390.117, 0.503547
389.61, 0.508391
389.105, 0.513118
388.601, 0.517721
388.098, 0.522193
387.597, 0.526525
387.097, 0.530711
386.598, 0.534745
386.1, 0.538623
385.604, 0.542346
385.109, 0.545913
384.615, 0.549329
384.123, 0.552598
383.632, 0.555728
383.142, 0.558723
382.653, 0.561589
382.166, 0.564329
381.679, 0.566944
381.194, 0.569431
380.711, 0.571786
380.228, 0.574
379.747, 0.576062
379.267, 0.577961
378.788, 0.579681
378.31, 0.581209
377.834, 0.58253
377.358, 0.583628
376.884, 0.58449
376.412, 0.585103
375.94, 0.585453
375.469, 0.585527
375, 0.58531
374.532, 0.584788
374.065, 0.583945
373.599, 0.582763
373.134, 0.581225
372.671, 0.579312
372.208, 0.577006
371.747, 0.57429
371.287, 0.57115
370.828, 0.567573
370.37, 0.563552
369.914, 0.559086
369.458, 0.554178
369.004, 0.548837
368.55, 0.54308
368.098, 0.536928
367.647, 0.530409
367.197, 0.523557
366.748, 0.516412
366.3, 0.509017
365.854, 0.501421
365.408, 0.493678
364.964, 0.485845
364.52, 0.477985
364.078, 0.470162
363.636, 0.462447
363.196, 0.454912
362.757, 0.44763
362.319, 0.440677
361.882, 0.434127
361.446, 0.428051
361.011, 0.422516
360.577, 0.417581
360.144, 0.413299
359.712, 0.40971
359.281, 0.406845
358.852, 0.404722
358.423, 0.403346
357.995, 0.402709
357.569, 0.402795
357.143, 0.403573
356.718, 0.405009
356.295, 0.407059
355.872, 0.409674
355.45, 0.412805
355.03, 0.4164
354.61, 0.420405
354.191, 0.424769
353.774, 0.429441
353.357, 0.434372
352.941, 0.439513
352.526, 0.444818
352.113, 0.450239
351.7, 0.455732
351.288, 0.461254
350.877, 0.466762
350.467, 0.472215
350.058, 0.477576
349.65, 0.482811
349.243, 0.48789
348.837, 0.492786
348.432, 0.49748
348.028, 0.501957
347.625, 0.506206
347.222, 0.510221
346.821, 0.514001
346.42, 0.517548
346.021, 0.520865
345.622, 0.523957
345.224, 0.526831
344.828, 0.529495
344.432, 0.531954
344.037, 0.534216
