

lambda(nm), Y
1000, 0.918155
996.678, 0.918201
993.377, 0.918107
990.099, 0.917567
986.842, 0.916435
983.607, 0.914778
980.392, 0.912855
977.199, 0.911003
974.026, 0.909495
970.874, 0.908423
967.742, 0.907656
964.63, 0.906887
961.538, 0.905757
958.466, 0.904
955.414, 0.901548
952.381, 0.898553
949.367, 0.895315
946.372, 0.892146
943.396, 0.889232
940.439, 0.88654
937.5, 0.883836
934.579, 0.880785
931.677, 0.877122
928.793, 0.872799
925.926, 0.868071
923.077, 0.863463
920.245, 0.859625
917.431, 0.857144
914.634, 0.856346
911.854, 0.857203
909.091, 0.859346
906.344, 0.86219
903.614, 0.865131
900.901, 0.86772
898.204, 0.869773
895.522, 0.87136
892.857, 0.872704
890.208, 0.874025
887.574, 0.875407
884.956, 0.876743
882.353, 0.877766
879.765, 0.878176
877.193, 0.877777
874.636, 0.876583
872.093, 0.874828
869.565, 0.87289
867.052, 0.87114
864.553, 0.869796
862.069, 0.868833
859.599, 0.867991
857.143, 0.866887
854.701, 0.865174
852.273, 0.862693
849.858, 0.859543
847.458, 0.856045
845.07, 0.852613
842.697, 0.849579
840.336, 0.84705
837.989, 0.844855
835.655, 0.842608
833.333, 0.839865
831.025, 0.836303
828.729, 0.831855
826.446, 0.826744
824.176, 0.821385
821.918, 0.816213
819.672, 0.811494
817.439, 0.807199
815.217, 0.803005
813.008, 0.798413
810.811, 0.792942
808.625, 0.786329
806.452, 0.778629
804.29, 0.770193
802.139, 0.761518
800, 0.753026
797.872, 0.744873
795.756, 0.736858
793.651, 0.728486
791.557, 0.719149
789.474, 0.708367
787.402, 0.695981
785.34, 0.68222
783.29, 0.667607
781.25, 0.652741
779.221, 0.638045
777.202, 0.623577
775.194, 0.609005
773.196, 0.593753
771.208, 0.577269
769.231, 0.559317
767.263, 0.540163
765.306, 0.520582
763.359, 0.501659
761.421, 0.484481
759.494, 0.469815
757.576, 0.45793
755.668, 0.448631
753.769, 0.441501
751.88, 0.436262
750, 0.433085
748.13, 0.432704
746.269, 0.436239
744.417, 0.444764
742.574, 0.458736
740.741, 0.477523
738.916, 0.499212
737.101, 0.520852
735.294, 0.53909
733.496, 0.551073
731.707, 0.555316
729.927, 0.552274
728.155, 0.544403
726.392, 0.53564
724.638, 0.530439
722.892, 0.532628
721.154, 0.544415
719.424, 0.565837
717.703, 0.594812
715.99, 0.627754
714.286, 0.660567
712.589, 0.689692
710.9, 0.712919
709.22, 0.729738
707.547, 0.741166
705.882, 0.749167
704.225, 0.755881
702.576, 0.762932
700.935, 0.771017
699.301, 0.779874
697.674, 0.788593
696.056, 0.796098
694.444, 0.801624
692.841, 0.805008
691.244, 0.806707
689.655, 0.807586
688.073, 0.808552
686.499, 0.810223
684.932, 0.812726
683.371, 0.815706
681.818, 0.818523
680.272, 0.820533
678.733, 0.821355
677.201, 0.821008
675.676, 0.819873
674.157, 0.818531
672.646, 0.817515
671.141, 0.81711
669.643, 0.817262
668.151, 0.817626
666.667, 0.817723
665.188, 0.817148
663.717, 0.815728
662.252, 0.81358
660.793, 0.811055
659.341, 0.808587
657.895, 0.806522
656.455, 0.804994
655.022, 0.803888
653.595, 0.802912
652.174, 0.801731
650.759, 0.80011
649.351, 0.798009
