

lambda(nm), Y
1000, 0.837824
996.678, 0.827445
993.377, 0.81632
990.099, 0.80474
986.842, 0.793038
983.607, 0.781577
980.392, 0.770728
977.199, 0.760858
974.026, 0.752308
970.874, 0.74538
967.742, 0.740317
964.63, 0.737296
961.538, 0.736418
958.466, 0.737702
955.414, 0.741087
952.381, 0.746432
949.367, 0.753529
946.372, 0.762109
943.396, 0.771856
940.439, 0.782425
937.5, 0.793459
934.579, 0.804602
931.677, 0.815516
928.793, 0.825897
925.926, 0.835487
923.077, 0.84408
920.245, 0.851531
917.431, 0.857755
914.634, 0.862728
911.854, 0.866485
909.091, 0.869107
906.344, 0.870717
903.614, 0.871468
900.901, 0.871529
898.204, 0.871078
895.522, 0.870287
892.857, 0.869315
890.208, 0.8683
887.574, 0.867351
884.956, 0.866544
882.353, 0.865927
879.765, 0.865512
877.193, 0.865287
874.636, 0.865213
872.093, 0.865235
869.565, 0.865288
867.052, 0.865302
864.553, 0.865209
862.069, 0.86495
859.599, 0.864479
857.143, 0.863766
854.701, 0.862798
852.273, 0.861582
849.858, 0.86014
847.458, 0.858508
845.07, 0.856733
842.697, 0.85487
840.336, 0.852972
837.989, 0.851091
835.655, 0.849273
833.333, 0.847552
831.025, 0.845948
828.729, 0.844471
826.446, 0.843112
824.176, 0.841852
821.918, 0.84066
819.672, 0.839497
817.439, 0.838319
815.217, 0.837081
813.008, 0.835742
810.811, 0.834266
808.625, 0.832628
806.452, 0.830814
804.29, 0.828822
802.139, 0.826664
800, 0.824362
797.872, 0.82195
795.756, 0.819469
793.651, 0.816963
791.557, 0.814478
789.474, 0.812055
787.402, 0.809729
785.34, 0.807528
783.29, 0.805464
781.25, 0.803538
779.221, 0.801738
777.202, 0.800037
775.194, 0.798398
773.196, 0.796775
771.208, 0.795116
769.231, 0.793368
767.263, 0.791477
765.306, 0.789399
763.359, 0.787096
761.421, 0.784543
759.494, 0.78173
757.576, 0.778662
755.668, 0.775359
753.769, 0.771859
751.88, 0.768209
750, 0.764468
748.13, 0.760704
746.269, 0.756984
744.417, 0.753376
742.574, 0.749943
740.741, 0.746736
738.916, 0.743797
737.101, 0.74115
735.294, 0.738804
733.496, 0.736749
731.707, 0.734959
729.927, 0.733392
728.155, 0.731993
726.392, 0.730697
724.638, 0.72943
722.892, 0.728118
721.154, 0.726687
719.424, 0.725069
717.703, 0.723201
715.99, 0.721037
714.286, 0.71854
712.589, 0.715689
710.9, 0.712478
709.22, 0.708916
707.547, 0.705025
705.882, 0.700836
704.225, 0.696393
702.576, 0.69174
700.935, 0.686927
699.301, 0.682003
697.674, 0.677011
696.056, 0.671991
694.444, 0.666972
692.841, 0.661977
691.244, 0.657017
689.655, 0.652095
688.073, 0.647202
686.499, 0.642326
684.932, 0.637446
683.371, 0.632539
681.818, 0.62758
680.272, 0.622545
678.733, 0.617411
677.201, 0.612164
675.676, 0.606791
674.157, 0.601288
672.646, 0.595659
671.141, 0.589911
669.643, 0.58406
668.151, 0.578126
666.667, 0.572132
665.188, 0.566102
663.717, 0.56006
662.252, 0.554028
660.793, 0.548025
659.341, 0.542063
657.895, 0.536149
656.455, 0.530286
655.022, 0.524466
653.595, 0.518677
652.174, 0.512903
650.759, 0.507119
649.351, 0.501301
647.948, 0.495422
646.552, 0.489452
645.161, 0.483367
643.777, 0.477142
642.398, 0.470758
641.026, 0.4642
639.659, 0.457457
638.298, 0.450526
636.943, 0.443408
635.593, 0.436109
634.249, 0.428639
632.911, 0.421013
631.579, 0.413247
630.252, 0.405358
628.931, 0.397365
627.615, 0.389284
626.305, 0.38113
625, 0.372917
623.701, 0.364656
