

lambda(nm), Y
1000, 0.836872
996.678, 0.828831
993.377, 0.819982
990.099, 0.810265
986.842, 0.799606
983.607, 0.787898
980.392, 0.775002
977.199, 0.760766
974.026, 0.745045
970.874, 0.72773
967.742, 0.70876
964.63, 0.688133
961.538, 0.665914
958.466, 0.642253
955.414, 0.617433
952.381, 0.591923
949.367, 0.56644
946.372, 0.541978
943.396, 0.519772
940.439, 0.5012
937.5, 0.487611
934.579, 0.480127
931.677, 0.479455
928.793, 0.485759
925.926, 0.498634
923.077, 0.517167
920.245, 0.540087
917.431, 0.565961
914.634, 0.593373
911.854, 0.621088
909.091, 0.648134
906.344, 0.673837
903.614, 0.697794
900.901, 0.719822
898.204, 0.73989
895.522, 0.758055
892.857, 0.774422
890.208, 0.789111
887.574, 0.802248
884.956, 0.813963
882.353, 0.824391
879.765, 0.833674
877.193, 0.841955
874.636, 0.849368
872.093, 0.856026
869.565, 0.862018
867.052, 0.867404
864.553, 0.872229
862.069, 0.876536
859.599, 0.880373
857.143, 0.883802
854.701, 0.886889
852.273, 0.889693
849.858, 0.892251
847.458, 0.89458
845.07, 0.896677
842.697, 0.898536
840.336, 0.900163
837.989, 0.901584
835.655, 0.902844
833.333, 0.903985
831.025, 0.905038
828.729, 0.906006
826.446, 0.906867
824.176, 0.907594
821.918, 0.908168
819.672, 0.9086
817.439, 0.908922
815.217, 0.90918
813.008, 0.909406
810.811, 0.909605
808.625, 0.909751
806.452, 0.9098
804.29, 0.909719
802.139, 0.909504
800, 0.909186
797.872, 0.90882
795.756, 0.908457
793.651, 0.90812
791.557, 0.907795
789.474, 0.907446
787.402, 0.907041
785.34, 0.906582
783.29, 0.906112
781.25, 0.905705
779.221, 0.905425
777.202, 0.905297
775.194, 0.90528
773.196, 0.905285
771.208, 0.905211
769.231, 0.904993
767.263, 0.904634
765.306, 0.904199
763.359, 0.903777
761.421, 0.903427
759.494, 0.903137
757.576, 0.90282
755.668, 0.902352
753.769, 0.901644
751.88, 0.900691
750, 0.899589
748.13, 0.898488
746.269, 0.89751
744.417, 0.896663
742.574, 0.895802
740.741, 0.894671
738.916, 0.893017
737.101, 0.890731
735.294, 0.887954
733.496, 0.885096
731.707, 0.882739
729.927, 0.881447
728.155, 0.881572
726.392, 0.8831
724.638, 0.885642
722.892, 0.888537
721.154, 0.891061
719.424, 0.892654
717.703, 0.893066
715.99, 0.892396
714.286, 0.891
712.589, 0.889326
710.9, 0.887739
709.22, 0.886414
707.547, 0.885317
705.882, 0.884282
704.225, 0.883124
702.576, 0.881737
700.935, 0.880135
699.301, 0.878429
697.674, 0.876755
696.056, 0.875204
694.444, 0.873776
692.841, 0.872392
691.244, 0.870944
689.655, 0.869349
688.073, 0.867593
686.499, 0.865728
684.932, 0.86384
683.371, 0.861998
681.818, 0.860221
680.272, 0.858473
678.733, 0.856682
677.201, 0.854786
675.676, 0.852765
674.157, 0.85065
672.646, 0.848506
671.141, 0.846401
669.643, 0.84437
668.151, 0.842405
666.667, 0.840462
665.188, 0.838492
663.717, 0.836462
662.252, 0.834374
660.793, 0.83226
659.341, 0.830157
657.895, 0.828083
656.455, 0.826025
655.022, 0.823942
653.595, 0.821782
652.174, 0.81951
650.759, 0.817121
649.351, 0.814637
647.948, 0.812097
646.552, 0.809531
645.161, 0.806943
643.777, 0.804315
642.398, 0.801611
641.026, 0.7988
639.659, 0.795873
638.298, 0.792844
636.943, 0.789742
635.593, 0.786596
634.249, 0.783419
632.911, 0.780198
631.579, 0.776906
630.252, 0.773514
628.931, 0.770008
627.615, 0.76639
626.305, 0.762684
625, 0.758913
623.701, 0.755093
622.407, 0.751219
621.118, 0.74727
619.835, 0.74322
618.557, 0.739051
617.284, 0.734761
616.016, 0.730362
614.754, 0.725875
613.497, 0.721317
612.245, 0.716688
610.998, 0.711974
609.756, 0.707154
608.519, 0.702207
607.287, 0.697127
606.061, 0.691919
604.839, 0.686601
603.622, 0.681187
602.41, 0.675684
601.202, 0.670081
600, 0.664363
598.802, 0.658511
597.61, 0.652513
596.421, 0.646371
595.238, 0.640097
594.059, 0.633704
592.885, 0.627201
591.716, 0.620585
590.551, 0.613843
589.391, 0.606959
588.235, 0.599921
587.084, 0.592727
585.938, 0.585385
584.795, 0.577907
583.658, 0.570303
582.524, 0.562574
581.395, 0.554713
580.271, 0.546709
579.151, 0.538551
578.035, 0.530235
576.923, 0.521766
575.816, 0.513156
574.713, 0.504415
573.614, 0.495551
572.519, 0.486561
571.429, 0.47744
570.342, 0.46818
569.26, 0.45878
568.182, 0.449244
567.108, 0.439582
566.038, 0.429808
564.972, 0.419933
563.91, 0.409962
562.852, 0.399895
561.798, 0.389732
560.748, 0.379473
559.701, 0.369126
558.659, 0.358703
557.621, 0.34822
556.586, 0.337692
555.556, 0.327134
554.529, 0.316552
553.506, 0.305955
552.486, 0.295349
551.471, 0.284746
550.459, 0.274161
549.451, 0.263615
548.446, 0.253129
547.445, 0.242721
546.448, 0.232408
545.455, 0.222203
544.465, 0.212122
543.478, 0.202178
542.495, 0.192393
541.516, 0.182787
540.541, 0.173384
539.568, 0.164206
538.6, 0.155274
537.634, 0.146606
536.673, 0.138217
535.714, 0.130126
534.759, 0.122351
533.808, 0.114911
532.86, 0.107828
531.915, 0.101121
530.973, 0.0948069
530.035, 0.0889016
529.101, 0.0834177
528.169, 0.0783669
527.241, 0.0737607
526.316, 0.0696111
525.394, 0.0659294
524.476, 0.0627259
523.56, 0.0600082
522.648, 0.0577816
521.739, 0.0560485
520.833, 0.0548098
519.931, 0.0540653
519.031, 0.0538143
518.135, 0.0540553
517.241, 0.0547858
516.351, 0.0560011
515.464, 0.0576942
514.58, 0.0598557
513.699, 0.0624747
512.821, 0.0655393
511.945, 0.0690373
511.073, 0.0729563
510.204, 0.0772835
509.338, 0.0820051
508.475, 0.0871059
507.614, 0.0925687
506.757, 0.0983755
505.902, 0.104507
505.051, 0.110946
504.202, 0.117674
503.356, 0.124675
502.513, 0.131931
501.672, 0.139427
500.835, 0.147144
500, 0.155063
499.168, 0.163165
498.339, 0.171432
497.512, 0.179845
496.689, 0.18839
495.868, 0.197052
495.05, 0.205819
494.234, 0.214677
493.421, 0.223612
492.611, 0.232606
491.803, 0.241645
490.998, 0.250713
490.196, 0.2598
489.396, 0.268896
488.599, 0.277994
487.805, 0.287086
487.013, 0.296165
486.224, 0.305219
485.437, 0.314237
484.653, 0.323206
483.871, 0.332118
483.092, 0.340968
482.315, 0.349755
481.541, 0.358478
480.769, 0.367133
480, 0.375717
479.233, 0.38422
478.469, 0.392633
477.707, 0.400949
476.948, 0.409163
476.19, 0.417278
475.436, 0.425299
474.684, 0.433228
473.934, 0.441066
473.186, 0.448807
472.441, 0.456443
471.698, 0.463965
470.958, 0.471371
470.219, 0.478661
469.484, 0.485845
468.75, 0.492931
468.019, 0.499923
467.29, 0.50682
466.563, 0.513614
465.839, 0.520295
465.116, 0.526858
464.396, 0.533302
463.679, 0.539637
462.963, 0.545876
462.25, 0.552028
461.538, 0.558096
460.829, 0.564075
460.123, 0.569951
459.418, 0.575715
458.716, 0.581363
458.015, 0.586905
457.317, 0.592353
456.621, 0.597725
455.927, 0.603028
455.235, 0.608259
454.545, 0.613404
453.858, 0.618449
453.172, 0.623385
452.489, 0.628216
451.807, 0.632958
451.128, 0.637631
450.45, 0.642251
449.775, 0.646818
449.102, 0.651322
448.43, 0.65574
447.761, 0.660058
447.094, 0.664272
446.429, 0.668398
445.765, 0.67246
445.104, 0.676481
444.444, 0.680471
443.787, 0.68442
443.131, 0.688303
442.478, 0.692096
441.826, 0.695787
441.176, 0.699386
440.529, 0.70292
439.883, 0.706422
439.239, 0.709912
438.596, 0.713385
437.956, 0.716817
437.318, 0.720173
436.681, 0.723429
436.047, 0.726586
435.414, 0.72967
434.783, 0.732724
434.153, 0.735782
433.526, 0.738851
432.9, 0.741908
432.277, 0.74491
431.655, 0.747815
431.034, 0.750609
430.416, 0.753315
429.799, 0.755984
429.185, 0.758669
428.571, 0.761396
427.96, 0.76415
427.35, 0.766877
426.743, 0.769516
426.136, 0.772028
425.532, 0.774426
424.929, 0.776767
424.328, 0.779131
423.729, 0.781573
423.131, 0.784097
422.535, 0.786642
421.941, 0.789118
421.348, 0.791449
420.757, 0.79362
420.168, 0.795695
419.58, 0.797791
418.994, 0.800022
418.41, 0.802431
417.827, 0.804961
417.246, 0.807473
416.667, 0.809815
416.089, 0.811914
415.512, 0.813836
414.938, 0.815782
414.365, 0.818005
413.793, 0.820671
413.223, 0.823727
412.655, 0.826835
412.088, 0.829424
411.523, 0.830852
410.959, 0.830621
410.397, 0.828584
409.836, 0.825034
409.277, 0.820653
408.719, 0.81632
408.163, 0.812845
407.609, 0.810731
407.056, 0.810046
406.504, 0.810446
405.954, 0.811341
405.405, 0.812114
404.858, 0.812334
404.313, 0.811864
403.769, 0.810841
403.226, 0.809561
402.685, 0.808323
402.145, 0.807305
401.606, 0.806516
401.07, 0.805838
400.534, 0.80512
400, 0.804268
399.467, 0.803299
398.936, 0.802325
398.406, 0.801489
397.878, 0.800886
397.351, 0.800523
396.825, 0.800312
396.301, 0.800127
395.778, 0.799863
395.257, 0.799492
394.737, 0.799067
394.218, 0.798692
393.701, 0.798462
393.185, 0.79842
392.67, 0.798537
