

lambda(nm), Y
1000, 0.907133
996.678, 0.90649
993.377, 0.905913
990.099, 0.905249
986.842, 0.904417
983.607, 0.903487
980.392, 0.902607
977.199, 0.901848
974.026, 0.901127
970.874, 0.900298
967.742, 0.899303
964.63, 0.898235
961.538, 0.897234
958.466, 0.896347
955.414, 0.895473
952.381, 0.894475
949.367, 0.893324
946.372, 0.892126
943.396, 0.891016
940.439, 0.890011
937.5, 0.889001
934.579, 0.887862
931.677, 0.886591
928.793, 0.885307
925.926, 0.884132
923.077, 0.88306
920.245, 0.881971
917.431, 0.88076
914.634, 0.879448
911.854, 0.878164
909.091, 0.87701
906.344, 0.87596
903.614, 0.87489
900.901, 0.873712
898.204, 0.872469
895.522, 0.871295
892.857, 0.870272
890.208, 0.869351
887.574, 0.868406
884.956, 0.86737
882.353, 0.866305
879.765, 0.86534
877.193, 0.864537
874.636, 0.863824
872.093, 0.863079
869.565, 0.862252
867.052, 0.861422
864.553, 0.860709
862.069, 0.860152
859.599, 0.859662
857.143, 0.85912
854.701, 0.858499
852.273, 0.857887
849.858, 0.857397
847.458, 0.857043
845.07, 0.856725
842.697, 0.856332
840.336, 0.855857
837.989, 0.855401
835.655, 0.855063
833.333, 0.854836
831.025, 0.854612
828.729, 0.854294
826.446, 0.853895
824.176, 0.853524
821.918, 0.853267
819.672, 0.853097
817.439, 0.852901
815.217, 0.852598
813.008, 0.852222
810.811, 0.851884
808.625, 0.851656
806.452, 0.851493
804.29, 0.851282
802.139, 0.850957
800, 0.850571
797.872, 0.850237
795.756, 0.850008
793.651, 0.849824
791.557, 0.849572
789.474, 0.849207
787.402, 0.848797
785.34, 0.84845
783.29, 0.848203
781.25, 0.847981
779.221, 0.847677
777.202, 0.847264
775.194, 0.846824
773.196, 0.846458
771.208, 0.846183
769.231, 0.845914
767.263, 0.845552
765.306, 0.84509
763.359, 0.844617
761.421, 0.844227
759.494, 0.843918
757.576, 0.843598
755.668, 0.843176
753.769, 0.842664
751.88, 0.842159
750, 0.841743
748.13, 0.841396
746.269, 0.84102
744.417, 0.840539
742.574, 0.839979
740.741, 0.839443
738.916, 0.838998
737.101, 0.838611
735.294, 0.838177
733.496, 0.837636
731.707, 0.837032
729.927, 0.836465
728.155, 0.835992
726.392, 0.83556
724.638, 0.835067
722.892, 0.834469
721.154, 0.833822
719.424, 0.833227
717.703, 0.832722
715.99, 0.832243
714.286, 0.831692
712.589, 0.831039
710.9, 0.830352
709.22, 0.829729
707.547, 0.829192
705.882, 0.828664
704.225, 0.828054
702.576, 0.827348
700.935, 0.826625
699.301, 0.825975
697.674, 0.825402
696.056, 0.824825
694.444, 0.824156
692.841, 0.8234
691.244, 0.822643
689.655, 0.821966
688.073, 0.821357
686.499, 0.820727
684.932, 0.820002
683.371, 0.819199
681.818, 0.81841
680.272, 0.817705
678.733, 0.817058
677.201, 0.816375
675.676, 0.815594
674.157, 0.814746
672.646, 0.813928
671.141, 0.813195
669.643, 0.812508
668.151, 0.811771
666.667, 0.810936
665.188, 0.810047
663.717, 0.809201
662.252, 0.808439
660.793, 0.80771
659.341, 0.80692
657.895, 0.806033
656.455, 0.805106
655.022, 0.804234
653.595, 0.803443
652.174, 0.802672
650.759, 0.801828
649.351, 0.800892
647.948, 0.799931
646.552, 0.799034
645.161, 0.798215
643.777, 0.7974
642.398, 0.796505
641.026, 0.795523
639.659, 0.794532
638.298, 0.793613
636.943, 0.792764
635.593, 0.791906
634.249, 0.790963
632.911, 0.78994
631.579, 0.788923
630.252, 0.787983
628.931, 0.787107
627.615, 0.786207
626.305, 0.785218
625, 0.78416
623.701, 0.783121
622.407, 0.782164
621.118, 0.781261
619.835, 0.780321
618.557, 0.779291
617.284, 0.778203
616.016, 0.777147
614.754, 0.776175
613.497, 0.775246
612.245, 0.77427
610.998, 0.773202
609.756, 0.77209
608.519, 0.771022
607.287, 0.770037
606.061, 0.769083
604.839, 0.768072
603.622, 0.766972
602.41, 0.765841
601.202, 0.764765
600, 0.763769
598.802, 0.762789
597.61, 0.761742
596.421, 0.76061
595.238, 0.75946
594.059, 0.758377
592.885, 0.757372
591.716, 0.756372
590.551, 0.755296
589.391, 0.75414
588.235, 0.752978
587.084, 0.751889
585.938, 0.75087
584.795, 0.749843
583.658, 0.748734
582.524, 0.74755
581.395, 0.746372
580.271, 0.745271
579.151, 0.744233
578.035, 0.743175
576.923, 0.742032
575.816, 0.740823
574.713, 0.739633
573.614, 0.738522
572.519, 0.737462
571.429, 0.736368
570.342, 0.735185
569.26, 0.733946
568.182, 0.73274
567.108, 0.731614
566.038, 0.73053
564.972, 0.7294
563.91, 0.728179
562.852, 0.726913
561.798, 0.725689
560.748, 0.724547
559.701, 0.723434
558.659, 0.722264
557.621, 0.721002
556.586, 0.719704
555.556, 0.718457
554.529, 0.717288
553.506, 0.716138
552.486, 0.714921
551.471, 0.713616
550.459, 0.712287
549.451, 0.711018
548.446, 0.709823
547.445, 0.708633
546.448, 0.707369
545.455, 0.706019
544.465, 0.704657
543.478, 0.703359
542.495, 0.70213
541.516, 0.700894
540.541, 0.699577
539.568, 0.698183
538.6, 0.696788
537.634, 0.695463
536.673, 0.694199
535.714, 0.692914
534.759, 0.691542
533.808, 0.6901
532.86, 0.68867
531.915, 0.687316
530.973, 0.686014
530.035, 0.68468
529.101, 0.683254
528.169, 0.681764
527.241, 0.680297
526.316, 0.678907
525.394, 0.67756
524.476, 0.676168
523.56, 0.674684
522.648, 0.673145
521.739, 0.671639
520.833, 0.67021
519.931, 0.668814
519.031, 0.667364
518.135, 0.66582
517.241, 0.664232
516.351, 0.662687
515.464, 0.661217
514.58, 0.659769
513.699, 0.658256
512.821, 0.65665
511.945, 0.655011
511.073, 0.653424
510.204, 0.65191
509.338, 0.650406
508.475, 0.64883
507.614, 0.647164
506.757, 0.645476
505.902, 0.643847
505.051, 0.642288
504.202, 0.640727
503.356, 0.639086
502.513, 0.637359
501.672, 0.635623
500.835, 0.633952
500, 0.632347
499.168, 0.630729
498.339, 0.629025
497.512, 0.627242
496.689, 0.62546
495.868, 0.62375
495.05, 0.622098
494.234, 0.620423
493.421, 0.618657
492.611, 0.616819
491.803, 0.614994
490.998, 0.613245
490.196, 0.611547
489.396, 0.609814
488.599, 0.607988
487.805, 0.606099
487.013, 0.604234
486.224, 0.602448
485.437, 0.600705
484.653, 0.598916
483.871, 0.597032
483.092, 0.595095
482.315, 0.593193
481.541, 0.59137
480.769, 0.58958
480, 0.587735
479.233, 0.585795
478.469, 0.583811
477.707, 0.581872
476.948, 0.580012
476.19, 0.578175
475.436, 0.576274
474.684, 0.574279
473.934, 0.572251
473.186, 0.570276
472.441, 0.568378
471.698, 0.566492
470.958, 0.564532
470.219, 0.562482
469.484, 0.560408
468.75, 0.558394
468.019, 0.556454
467.29, 0.554515
466.563, 0.552495
465.839, 0.550387
465.116, 0.548266
464.396, 0.546213
463.679, 0.544227
462.963, 0.542231
462.25, 0.540147
461.538, 0.53798
460.829, 0.535811
460.123, 0.533713
459.418, 0.531678
458.716, 0.529619
458.015, 0.527468
457.317, 0.525239
456.621, 0.523019
455.927, 0.520874
455.235, 0.518783
454.545, 0.516659
453.858, 0.514438
453.172, 0.512146
452.489, 0.509873
451.807, 0.507678
451.128, 0.50553
450.45, 0.503337
449.775, 0.501044
449.102, 0.498689
448.43, 0.496362
447.761, 0.494115
447.094, 0.491905
446.429, 0.489641
445.765, 0.487275
445.104, 0.484856
444.444, 0.482475
443.787, 0.480174
443.131, 0.477902
442.478, 0.475566
441.826, 0.473129
441.176, 0.470648
440.529, 0.468215
439.883, 0.465861
439.239, 0.463526
438.596, 0.461119
437.956, 0.458612
437.318, 0.456072
436.681, 0.453587
436.047, 0.45118
435.414, 0.448782
434.783, 0.446304
434.153, 0.44373
433.526, 0.441133
432.9, 0.4386
432.277, 0.436141
431.655, 0.433681
431.034, 0.431135
430.416, 0.428498
429.799, 0.425848
429.185, 0.423268
428.571, 0.420759
427.96, 0.418238
427.35, 0.415625
426.743, 0.412926
426.136, 0.410226
425.532, 0.407602
424.929, 0.405043
424.328, 0.402463
423.729, 0.399786
423.131, 0.39703
422.535, 0.394283
421.941, 0.391617
