

lambda(nm), Y
1000, 0.893505
996.678, 0.89397
993.377, 0.894332
990.099, 0.894581
986.842, 0.894713
983.607, 0.894737
980.392, 0.894671
977.199, 0.894542
974.026, 0.89437
970.874, 0.894165
967.742, 0.893925
964.63, 0.893636
961.538, 0.893286
958.466, 0.892867
955.414, 0.892384
952.381, 0.891849
949.367, 0.891282
946.372, 0.890695
943.396, 0.890096
940.439, 0.889478
937.5, 0.888828
934.579, 0.888135
931.677, 0.887391
928.793, 0.886598
925.926, 0.885767
923.077, 0.884913
920.245, 0.884044
917.431, 0.883166
914.634, 0.882271
911.854, 0.881349
909.091, 0.880388
906.344, 0.879382
903.614, 0.878332
900.901, 0.877245
898.204, 0.876133
895.522, 0.875003
892.857, 0.873857
890.208, 0.872689
887.574, 0.871491
884.956, 0.87025
882.353, 0.868962
879.765, 0.867624
877.193, 0.86624
874.636, 0.864818
872.093, 0.863363
869.565, 0.861874
867.052, 0.860347
864.553, 0.858772
862.069, 0.857138
859.599, 0.855437
857.143, 0.853659
854.701, 0.851803
852.273, 0.849866
849.858, 0.847847
847.458, 0.845744
845.07, 0.843551
842.697, 0.841256
840.336, 0.838845
837.989, 0.8363
835.655, 0.833606
833.333, 0.830757
831.025, 0.827769
828.729, 0.824682
826.446, 0.821572
824.176, 0.818548
821.918, 0.815738
819.672, 0.813272
817.439, 0.811258
815.217, 0.809754
813.008, 0.80875
810.811, 0.808167
808.625, 0.807867
806.452, 0.80768
804.29, 0.807435
802.139, 0.806991
800, 0.806262
797.872, 0.805216
795.756, 0.803873
793.651, 0.802279
791.557, 0.800488
789.474, 0.798538
787.402, 0.796448
785.34, 0.794217
783.29, 0.791835
781.25, 0.789295
779.221, 0.786602
777.202, 0.783771
775.194, 0.780829
773.196, 0.777796
771.208, 0.774686
769.231, 0.771495
767.263, 0.768209
765.306, 0.764808
763.359, 0.761275
761.421, 0.7576
759.494, 0.753789
757.576, 0.749852
755.668, 0.745801
753.769, 0.741639
751.88, 0.737358
750, 0.732936
748.13, 0.728346
746.269, 0.723559
744.417, 0.71856
742.574, 0.71335
740.741, 0.70795
738.916, 0.702405
737.101, 0.696772
735.294, 0.691115
733.496, 0.685496
731.707, 0.679959
729.927, 0.674528
728.155, 0.669197
726.392, 0.663931
724.638, 0.658669
722.892, 0.653335
721.154, 0.647848
719.424, 0.642137
717.703, 0.636152
715.99, 0.629869
714.286, 0.62329
712.589, 0.616432
710.9, 0.60932
709.22, 0.601973
707.547, 0.594402
705.882, 0.586603
704.225, 0.578563
702.576, 0.570268
700.935, 0.561709
699.301, 0.552886
