

lambda(nm), Y
1000, 0.88415
996.678, 0.881871
993.377, 0.879137
990.099, 0.876029
986.842, 0.872672
983.607, 0.869211
980.392, 0.865787
977.199, 0.862514
974.026, 0.859455
970.874, 0.856611
967.742, 0.85391
964.63, 0.851215
961.538, 0.848337
958.466, 0.845058
955.414, 0.841162
952.381, 0.836461
949.367, 0.830822
946.372, 0.82419
943.396, 0.816592
940.439, 0.808137
937.5, 0.798996
934.579, 0.789382
931.677, 0.779511
928.793, 0.769567
925.926, 0.759671
923.077, 0.749852
920.245, 0.740034
917.431, 0.730043
914.634, 0.719618
911.854, 0.70845
909.091, 0.696225
906.344, 0.682676
903.614, 0.667639
900.901, 0.651095
898.204, 0.633207
895.522, 0.614333
892.857, 0.595025
890.208, 0.575994
887.574, 0.558069
884.956, 0.542131
882.353, 0.529037
879.765, 0.519546
877.193, 0.514247
874.636, 0.513505
872.093, 0.517425
869.565, 0.525832
867.052, 0.538294
864.553, 0.55415
862.069, 0.572575
859.599, 0.592643
857.143, 0.613416
854.701, 0.63401
852.273, 0.65367
849.858, 0.671822
847.458, 0.688098
845.07, 0.702351
842.697, 0.714638
840.336, 0.725187
837.989, 0.734351
835.655, 0.742549
833.333, 0.750208
831.025, 0.757714
828.729, 0.765366
826.446, 0.773349
824.176, 0.781725
821.918, 0.790437
819.672, 0.799332
817.439, 0.808186
815.217, 0.816748
813.008, 0.82477
810.811, 0.832046
808.625, 0.838431
806.452, 0.843861
804.29, 0.848351
802.139, 0.851987
800, 0.854913
797.872, 0.857299
795.756, 0.859323
793.651, 0.861146
791.557, 0.86289
789.474, 0.864626
787.402, 0.866378
785.34, 0.868118
783.29, 0.869784
781.25, 0.871297
779.221, 0.872576
777.202, 0.873557
775.194, 0.874207
773.196, 0.87453
771.208, 0.874569
769.231, 0.8744
767.263, 0.874123
765.306, 0.873841
763.359, 0.873649
761.421, 0.873615
759.494, 0.873772
757.576, 0.87411
755.668, 0.874577
753.769, 0.875085
751.88, 0.875525
750, 0.875782
748.13, 0.875753
746.269, 0.875362
744.417, 0.874579
742.574, 0.873419
740.741, 0.871951
738.916, 0.870287
737.101, 0.868575
735.294, 0.866975
733.496, 0.865648
731.707, 0.86473
729.927, 0.864319
728.155, 0.86446
726.392, 0.865141
