

lambda(nm), Y
1000, 0.674694
996.678, 0.667521
993.377, 0.659779
990.099, 0.651407
986.842, 0.642367
983.607, 0.632652
980.392, 0.622281
977.199, 0.611288
974.026, 0.599723
970.874, 0.587633
967.742, 0.575063
964.63, 0.56204
961.538, 0.54857
958.466, 0.534634
955.414, 0.520189
952.381, 0.50517
949.367, 0.4895
946.372, 0.473098
943.396, 0.455898
940.439, 0.437862
937.5, 0.418998
934.579, 0.39938
931.677, 0.379155
928.793, 0.358561
925.926, 0.337927
923.077, 0.317672
920.245, 0.298294
917.431, 0.280358
914.634, 0.264462
911.854, 0.251217
909.091, 0.241204
906.344, 0.234945
903.614, 0.232857
900.901, 0.235233
898.204, 0.242203
895.522, 0.253728
892.857, 0.269588
890.208, 0.289388
887.574, 0.312581
884.956, 0.338489
882.353, 0.366345
879.765, 0.395338
877.193, 0.424655
874.636, 0.453533
872.093, 0.481295
869.565, 0.507388
867.052, 0.531407
864.553, 0.553102
862.069, 0.572385
859.599, 0.589308
857.143, 0.604046
854.701, 0.616862
852.273, 0.628073
849.858, 0.638011
847.458, 0.64699
845.07, 0.655274
842.697, 0.66306
840.336, 0.670463
837.989, 0.677516
835.655, 0.684182
833.333, 0.690364
831.025, 0.695932
828.729, 0.700745
826.446, 0.704677
824.176, 0.707633
821.918, 0.70957
819.672, 0.710497
817.439, 0.710481
815.217, 0.709636
813.008, 0.708106
810.811, 0.706052
808.625, 0.703626
806.452, 0.700958
804.29, 0.698133
802.139, 0.695191
800, 0.692115
797.872, 0.688842
795.756, 0.685274
793.651, 0.681295
791.557, 0.676791
789.474, 0.671675
787.402, 0.665901
785.34, 0.659486
783.29, 0.652512
781.25, 0.645129
779.221, 0.637549
777.202, 0.630025
775.194, 0.622833
773.196, 0.616245
771.208, 0.6105
769.231, 0.605782
767.263, 0.602201
765.306, 0.599774
763.359, 0.598428
761.421, 0.598003
759.494, 0.598266
757.576, 0.598935
755.668, 0.599704
753.769, 0.600276
751.88, 0.600389
750, 0.599846
748.13, 0.598528
746.269, 0.596408
744.417, 0.59355
742.574, 0.590101
740.741, 0.58627
738.916, 0.58231
737.101, 0.578483
735.294, 0.575033
733.496, 0.572162
731.707, 0.570001
729.927, 0.568603
728.155, 0.56793
726.392, 0.567861
724.638, 0.568199
722.892, 0.568695
721.154, 0.569071
719.424, 0.569043
717.703, 0.568353
715.99, 0.566791
714.286, 0.56421
712.589, 0.560543
710.9, 0.555799
709.22, 0.550066
707.547, 0.543493
705.882, 0.536277
704.225, 0.528639
702.576, 0.520804
700.935, 0.512979
699.301, 0.505335
697.674, 0.497995
696.056, 0.491028
