

lambda(nm), Y
1000, 0.819256
996.678, 0.812246
993.377, 0.804438
990.099, 0.795839
986.842, 0.786481
983.607, 0.776412
980.392, 0.765679
977.199, 0.754319
974.026, 0.742339
970.874, 0.729712
967.742, 0.716369
964.63, 0.702203
961.538, 0.687078
958.466, 0.670849
955.414, 0.653378
952.381, 0.634571
949.367, 0.614397
946.372, 0.592919
943.396, 0.570316
940.439, 0.546893
937.5, 0.52309
934.579, 0.499468
931.677, 0.476694
928.793, 0.455504
925.926, 0.436671
923.077, 0.420952
920.245, 0.409039
917.431, 0.401518
914.634, 0.398818
911.854, 0.401185
909.091, 0.40866
906.344, 0.421068
903.614, 0.438032
900.901, 0.458991
898.204, 0.483236
895.522, 0.509952
892.857, 0.538273
890.208, 0.567326
887.574, 0.596289
884.956, 0.624426
882.353, 0.651129
879.765, 0.675936
877.193, 0.698542
874.636, 0.718803
872.093, 0.736714
869.565, 0.752394
867.052, 0.766055
864.553, 0.777968
862.069, 0.78843
859.599, 0.797736
857.143, 0.806153
854.701, 0.8139
852.273, 0.821138
849.858, 0.827965
847.458, 0.834424
845.07, 0.84051
842.697, 0.846181
840.336, 0.851381
837.989, 0.856049
835.655, 0.860135
833.333, 0.863615
831.025, 0.86649
828.729, 0.868794
826.446, 0.870589
824.176, 0.87196
821.918, 0.873007
819.672, 0.873831
817.439, 0.874529
815.217, 0.875181
813.008, 0.875843
810.811, 0.876549
808.625, 0.8773
806.452, 0.878076
804.29, 0.878836
802.139, 0.879526
800, 0.880089
797.872, 0.88047
795.756, 0.880629
793.651, 0.880541
791.557, 0.880204
789.474, 0.879639
787.402, 0.878887
785.34, 0.878007
783.29, 0.87707
781.25, 0.876147
779.221, 0.87531
777.202, 0.874617
775.194, 0.874109
773.196, 0.873804
771.208, 0.873697
769.231, 0.873758
767.263, 0.873933
765.306, 0.874153
763.359, 0.874333
761.421, 0.874388
759.494, 0.874234
757.576, 0.8738
755.668, 0.87303
753.769, 0.871894
751.88, 0.870389
750, 0.868539
748.13, 0.866395
746.269, 0.864033
744.417, 0.861546
742.574, 0.85904
740.741, 0.856627
738.916, 0.854411
737.101, 0.852487
735.294, 0.85093
733.496, 0.84979
731.707, 0.849089
