

lambda(nm), Y
1000, 0.925212
996.678, 0.925132
993.377, 0.925002
990.099, 0.924863
986.842, 0.924729
983.607, 0.924584
980.392, 0.924387
977.199, 0.924076
974.026, 0.923582
970.874, 0.922838
967.742, 0.921793
964.63, 0.920416
961.538, 0.918708
958.466, 0.916696
955.414, 0.914437
952.381, 0.911998
949.367, 0.909454
946.372, 0.906865
943.396, 0.904262
940.439, 0.901636
937.5, 0.898925
934.579, 0.89601
931.677, 0.892719
928.793, 0.888836
925.926, 0.884116
923.077, 0.878312
920.245, 0.871195
917.431, 0.86259
914.634, 0.852399
911.854, 0.84062
909.091, 0.827373
906.344, 0.812897
903.614, 0.797554
900.901, 0.781814
898.204, 0.766232
895.522, 0.751415
892.857, 0.737987
890.208, 0.726546
887.574, 0.717622
884.956, 0.711646
882.353, 0.708913
879.765, 0.709563
877.193, 0.713572
874.636, 0.720753
872.093, 0.730771
869.565, 0.743161
867.052, 0.757369
864.553, 0.772783
862.069, 0.788777
859.599, 0.804749
857.143, 0.820157
854.701, 0.834551
852.273, 0.847588
849.858, 0.85905
847.458, 0.868837
845.07, 0.876966
842.697, 0.883549
840.336, 0.888773
837.989, 0.892875
835.655, 0.896113
833.333, 0.898739
831.025, 0.900985
828.729, 0.903035
826.446, 0.905025
824.176, 0.907036
821.918, 0.909093
819.672, 0.911179
817.439, 0.913244
815.217, 0.915219
813.008, 0.917031
810.811, 0.918618
808.625, 0.919937
806.452, 0.920972
804.29, 0.921736
802.139, 0.922274
800, 0.922652
797.872, 0.922952
795.756, 0.923262
793.651, 0.923668
791.557, 0.92424
789.474, 0.925028
787.402, 0.926055
785.34, 0.927316
783.29, 0.92878
781.25, 0.930392
779.221, 0.932082
777.202, 0.93377
775.194, 0.935377
773.196, 0.936832
771.208, 0.938077
769.231, 0.939077
767.263, 0.939816
765.306, 0.9403
763.359, 0.940555
761.421, 0.940621
759.494, 0.940548
757.576, 0.940386
755.668, 0.940185
753.769, 0.939986
751.88, 0.939816
750, 0.93969
748.13, 0.939612
746.269, 0.93957
744.417, 0.939548
742.574, 0.939526
740.741, 0.939483
738.916, 0.939406
737.101, 0.939289
735.294, 0.939139
733.496, 0.938971
731.707, 0.938812
729.927, 0.938696
728.155, 0.938657
726.392, 0.938732
724.638, 0.938946
722.892, 0.939318
721.154, 0.93985
719.424, 0.940529
717.703, 0.941327
715.99, 0.942201
714.286, 0.9431
712.589, 0.943966
710.9, 0.944739
709.22, 0.945369
707.547, 0.945812
705.882, 0.946042
704.225, 0.94605
702.576, 0.945843
700.935, 0.945449
699.301, 0.944908
697.674, 0.944273
696.056, 0.9436
694.444, 0.942945
692.841, 0.942361
691.244, 0.941887
689.655, 0.94155
688.073, 0.941358
686.499, 0.941306
684.932, 0.94137
683.371, 0.941517
681.818, 0.941703
680.272, 0.941884
678.733, 0.942015
677.201, 0.942059
675.676, 0.941989
674.157, 0.941792
672.646, 0.941468
671.141, 0.941031
669.643, 0.940505
668.151, 0.939925
666.667, 0.939329
665.188, 0.938754
663.717, 0.938235
662.252, 0.937797
660.793, 0.937456
659.341, 0.937215
657.895, 0.937065
656.455, 0.936987
655.022, 0.936952
653.595, 0.936929
652.174, 0.936884
650.759, 0.936786
649.351, 0.936609
647.948, 0.936338
646.552, 0.935967
645.161, 0.9355
643.777, 0.934952
642.398, 0.934346
641.026, 0.933709
639.659, 0.933072
638.298, 0.932461
636.943, 0.931902
635.593, 0.93141
634.249, 0.930992
632.911, 0.930646
631.579, 0.930362
630.252, 0.930119
628.931, 0.929895
627.615, 0.929662
626.305, 0.929393
625, 0.929067
623.701, 0.928666
622.407, 0.928181
621.118, 0.927612
619.835, 0.926967
618.557, 0.926261
617.284, 0.925515
616.016, 0.924751
614.754, 0.923995
613.497, 0.923265
612.245, 0.92258
610.998, 0.921949
609.756, 0.921373
608.519, 0.920847
607.287, 0.920357
606.061, 0.919886
604.839, 0.919412
603.622, 0.918912
602.41, 0.918366
601.202, 0.917758
600, 0.917075
598.802, 0.916314
597.61, 0.915478
596.421, 0.914576
595.238, 0.913623
594.059, 0.912638
592.885, 0.911641
591.716, 0.91065
590.551, 0.909682
589.391, 0.908749
588.235, 0.907855
587.084, 0.907
585.938, 0.906176
584.795, 0.90537
583.658, 0.904568
582.524, 0.903749
581.395, 0.902897
580.271, 0.901997
579.151, 0.901035
578.035, 0.900006
576.923, 0.89891
575.816, 0.89775
574.713, 0.896537
573.614, 0.895284
572.519, 0.894006
571.429, 0.89272
570.342, 0.891438
569.26, 0.890172
568.182, 0.888927
567.108, 0.887703
566.038, 0.886495
564.972, 0.885293
563.91, 0.884084
562.852, 0.882851
561.798, 0.881578
560.748, 0.88025
559.701, 0.878854
558.659, 0.877381
557.621, 0.875828
556.586, 0.874196
555.556, 0.872492
554.529, 0.870725
