

lambda(nm), Y
1000, 0.577585
996.678, 0.574008
993.377, 0.571513
990.099, 0.570042
986.842, 0.569472
983.607, 0.569624
980.392, 0.570277
977.199, 0.571189
974.026, 0.572113
970.874, 0.572815
967.742, 0.573092
964.63, 0.572783
961.538, 0.571776
958.466, 0.570015
955.414, 0.567498
952.381, 0.56427
949.367, 0.560418
946.372, 0.556054
943.396, 0.55131
940.439, 0.546318
937.5, 0.541204
934.579, 0.536073
931.677, 0.531007
928.793, 0.52606
925.926, 0.521253
923.077, 0.516582
920.245, 0.512017
917.431, 0.507512
914.634, 0.50301
911.854, 0.498452
909.091, 0.493784
906.344, 0.48896
903.614, 0.48395
900.901, 0.478738
898.204, 0.473328
895.522, 0.467739
892.857, 0.462
890.208, 0.456152
887.574, 0.450239
884.956, 0.444306
882.353, 0.438392
879.765, 0.432529
877.193, 0.426741
874.636, 0.421036
872.093, 0.415417
869.565, 0.409871
867.052, 0.404384
864.553, 0.398932
862.069, 0.393492
859.599, 0.388044
857.143, 0.382572
854.701, 0.377066
852.273, 0.371529
849.858, 0.36597
847.458, 0.360409
845.07, 0.354874
842.697, 0.3494
840.336, 0.344021
837.989, 0.338775
835.655, 0.333695
833.333, 0.328806
831.025, 0.324125
828.729, 0.319656
826.446, 0.315391
824.176, 0.311308
821.918, 0.307374
819.672, 0.303545
817.439, 0.299768
815.217, 0.295987
813.008, 0.292147
810.811, 0.288195
808.625, 0.284086
806.452, 0.279787
804.29, 0.275277
802.139, 0.270551
800, 0.265622
797.872, 0.260513
795.756, 0.255264
793.651, 0.249924
791.557, 0.244544
789.474, 0.23918
787.402, 0.233884
785.34, 0.228697
783.29, 0.223652
781.25, 0.218766
779.221, 0.214039
777.202, 0.209458
775.194, 0.204991
773.196, 0.2006
771.208, 0.196235
769.231, 0.191847
767.263, 0.187386
765.306, 0.182814
763.359, 0.178103
761.421, 0.173244
759.494, 0.168243
757.576, 0.16313
755.668, 0.15795
753.769, 0.152765
751.88, 0.147647
750, 0.142674
748.13, 0.137925
746.269, 0.133469
744.417, 0.129363
742.574, 0.125644
740.741, 0.122329
738.916, 0.119408
737.101, 0.116848
735.294, 0.114591
733.496, 0.112564
731.707, 0.110676
729.927, 0.108833
728.155, 0.106936
726.392, 0.104897
724.638, 0.102639
722.892, 0.100105
721.154, 0.0972585
719.424, 0.0940889
717.703, 0.0906092
715.99, 0.0868546
714.286, 0.0828794
712.589, 0.0787518
710.9, 0.0745482
709.22, 0.0703471
707.547, 0.0662234
705.882, 0.0622429
704.225, 0.0584586
702.576, 0.0549075
700.935, 0.0516096
699.301, 0.0485684
697.674, 0.0457721
696.056, 0.0431972
694.444, 0.0408113
692.841, 0.0385778
691.244, 0.0364595
689.655, 0.0344225
688.073, 0.0324391
686.499, 0.0304895
684.932, 0.0285632
683.371, 0.0266586
681.818, 0.0247821
680.272, 0.0229463
678.733, 0.0211678
677.201, 0.0194649
675.676, 0.0178547
674.157, 0.0163518
672.646, 0.0149663
671.141, 0.0137032
669.643, 0.0125621
668.151, 0.0115378
666.667, 0.0106216
665.188, 0.00980209
663.717, 0.00906736
662.252, 0.00840624
660.793, 0.00780969
659.341, 0.0072718
657.895, 0.00679025
656.455, 0.00636629
655.022, 0.00600433
653.595, 0.00571105
652.174, 0.00549431
650.759, 0.00536196
649.351, 0.0053207
647.948, 0.00537513
646.552, 0.00552715
645.161, 0.00577574
643.777, 0.00611706
642.398, 0.00654504
641.026, 0.00705219
639.659, 0.00763051
638.298, 0.00827259
636.943, 0.00897249
635.593, 0.00972644
634.249, 0.0105333
632.911, 0.0113945
631.579, 0.0123139
630.252, 0.013297
628.931, 0.0143503
627.615, 0.0154802
626.305, 0.0166919
625, 0.0179891
623.701, 0.0193727
622.407, 0.020841
621.118, 0.0223898
619.835, 0.0240123
618.557, 0.0257003
617.284, 0.0274451
616.016, 0.0292378
614.754, 0.0310714
613.497, 0.0329405
612.245, 0.0348425
610.998, 0.0367778
609.756, 0.0387495
608.519, 0.040763
607.287, 0.0428253
606.061, 0.0449442
604.839, 0.0471268
603.622, 0.049379
602.41, 0.0517045
601.202, 0.054104
600, 0.0565753
598.802, 0.0591131
597.61, 0.0617096
596.421, 0.0643554
595.238, 0.0670403
594.059, 0.0697542
592.885, 0.0724889
591.716, 0.0752379
590.551, 0.0779982
589.391, 0.0807695
588.235, 0.0835551
587.084, 0.0863608
585.938, 0.0891942
584.795, 0.0920641
583.658, 0.0949789
582.524, 0.0979457
581.395, 0.100969
580.271, 0.104052
579.151, 0.107192
578.035, 0.110385
576.923, 0.113622
575.816, 0.116895
574.713, 0.120191
573.614, 0.123501
572.519, 0.126813
571.429, 0.130121
570.342, 0.133419
569.26, 0.136706
568.182, 0.139985
567.108, 0.143262
566.038, 0.146543
564.972, 0.149838
563.91, 0.153158
562.852, 0.156511
561.798, 0.159905
560.748, 0.163343
559.701, 0.166825
558.659, 0.17035
557.621, 0.173911
556.586, 0.177498
555.556, 0.181101
554.529, 0.184708
553.506, 0.188308
552.486, 0.191892
551.471, 0.195452
550.459, 0.198986
549.451, 0.202495
548.446, 0.205982
547.445, 0.209455
546.448, 0.212922
545.455, 0.216396
544.465, 0.219884
543.478, 0.223398
542.495, 0.226942
541.516, 0.230521
540.541, 0.234133
539.568, 0.237775
538.6, 0.241439
537.634, 0.245115
536.673, 0.248791
535.714, 0.252456
534.759, 0.256099
533.808, 0.259713
532.86, 0.263291
531.915, 0.266831
530.973, 0.270337
530.035, 0.273814
529.101, 0.27727
528.169, 0.280715
