

lambda(nm), Y
1000, 0.836167
996.678, 0.834471
993.377, 0.832319
990.099, 0.82978
986.842, 0.826978
983.607, 0.824072
980.392, 0.821222
977.199, 0.818572
974.026, 0.816222
970.874, 0.814214
967.742, 0.812527
964.63, 0.811085
961.538, 0.809764
958.466, 0.808419
955.414, 0.806907
952.381, 0.805104
949.367, 0.802933
946.372, 0.800365
943.396, 0.797431
940.439, 0.79421
937.5, 0.790814
934.579, 0.787372
931.677, 0.784004
928.793, 0.780803
925.926, 0.777818
923.077, 0.775042
920.245, 0.772418
917.431, 0.769841
914.634, 0.767178
911.854, 0.76429
909.091, 0.761052
906.344, 0.757375
903.614, 0.753225
900.901, 0.748634
898.204, 0.743697
895.522, 0.738565
892.857, 0.733434
890.208, 0.728517
887.574, 0.724023
884.956, 0.720131
882.353, 0.716972
879.765, 0.71461
877.193, 0.713041
874.636, 0.712189
872.093, 0.71192
869.565, 0.712057
867.052, 0.712398
864.553, 0.712746
862.069, 0.712918
859.599, 0.712772
857.143, 0.712213
854.701, 0.711196
852.273, 0.709728
849.858, 0.707855
847.458, 0.705652
845.07, 0.703206
842.697, 0.700602
840.336, 0.697912
837.989, 0.695182
835.655, 0.69243
833.333, 0.689648
831.025, 0.686803
828.729, 0.683851
826.446, 0.680741
824.176, 0.677431
821.918, 0.673893
819.672, 0.67012
817.439, 0.666129
815.217, 0.661959
813.008, 0.657662
810.811, 0.6533
808.625, 0.648934
806.452, 0.644611
804.29, 0.640362
802.139, 0.636191
800, 0.632079
797.872, 0.627986
795.756, 0.623853
793.651, 0.619615
791.557, 0.615212
789.474, 0.610597
787.402, 0.605743
785.34, 0.600657
783.29, 0.595372
781.25, 0.589952
779.221, 0.584483
777.202, 0.579062
775.194, 0.573787
773.196, 0.56874
771.208, 0.563981
769.231, 0.559531
767.263, 0.555372
765.306, 0.551445
763.359, 0.547653
761.421, 0.543875
759.494, 0.539975
757.576, 0.53582
755.668, 0.531298
753.769, 0.526335
751.88, 0.520901
750, 0.515023
748.13, 0.508784
746.269, 0.502318
744.417, 0.495796
742.574, 0.489412
740.741, 0.483361
738.916, 0.477821
737.101, 0.472927
735.294, 0.468763
733.496, 0.465341
731.707, 0.462608
729.927, 0.460438
728.155, 0.458652
726.392, 0.457027
724.638, 0.455323
722.892, 0.4533
721.154, 0.450746
719.424, 0.447491
717.703, 0.443426
715.99, 0.438511
714.286, 0.432772
712.589, 0.426301
710.9, 0.419237
709.22, 0.411756
707.547, 0.404044
705.882, 0.396286
704.225, 0.388639
702.576, 0.381225
700.935, 0.374119
699.301, 0.367347
697.674, 0.360888
696.056, 0.354685
694.444, 0.348654
692.841, 0.342699
691.244, 0.336726
689.655, 0.330658
688.073, 0.324437
686.499, 0.31804
684.932, 0.311468
683.371, 0.304753
681.818, 0.297944
680.272, 0.291104
678.733, 0.284295
677.201, 0.27757
675.676, 0.270971
674.157, 0.264517
672.646, 0.258208
671.141, 0.252025
669.643, 0.245935
668.151, 0.239896
666.667, 0.233868
665.188, 0.227813
663.717, 0.221708
662.252, 0.215541
660.793, 0.209318
659.341, 0.20306
657.895, 0.196796
656.455, 0.190562
655.022, 0.184394
653.595, 0.178326
652.174, 0.172378
650.759, 0.166563
649.351, 0.160879
647.948, 0.155317
646.552, 0.149856
645.161, 0.144475
643.777, 0.139151
642.398, 0.133867
641.026, 0.128611
639.659, 0.123383
638.298, 0.118189
636.943, 0.113047
635.593, 0.107977
634.249, 0.103002
632.911, 0.0981451
631.579, 0.0934239
630.252, 0.0888505
628.931, 0.0844297
627.615, 0.0801588
626.305, 0.0760298
625, 0.0720307
623.701, 0.0681485
622.407, 0.0643717
621.118, 0.0606928
619.835, 0.0571091
618.557, 0.0536236
617.284, 0.0502446
616.016, 0.0469838
614.754, 0.0438552
613.497, 0.0408722
612.245, 0.038046
610.998, 0.0353841
609.756, 0.0328896
608.519, 0.0305609
607.287, 0.0283925
606.061, 0.0263768
604.839, 0.0245053
603.622, 0.0227704
602.41, 0.0211672
601.202, 0.0196938
600, 0.0183521
598.802, 0.0171471
597.61, 0.0160858
596.421, 0.0151764
595.238, 0.0144261
594.059, 0.0138401
592.885, 0.013421
591.716, 0.0131677
590.551, 0.0130762
589.391, 0.01314
588.235, 0.0133513
587.084, 0.0137027
585.938, 0.0141879
584.795, 0.014803
583.658, 0.0155471
582.524, 0.0164219
581.395, 0.0174316
580.271, 0.0185812
579.151, 0.0198759
578.035, 0.0213193
576.923, 0.0229126
575.816, 0.0246541
574.713, 0.0265387
573.614, 0.0285588
572.519, 0.0307049
571.429, 0.032967
570.342, 0.0353363
569.26, 0.037806
568.182, 0.0403721
567.108, 0.0430341
566.038, 0.0457947
564.972, 0.0486586
563.91, 0.0516316
562.852, 0.0547189
561.798, 0.0579239
560.748, 0.061247
559.701, 0.064685
558.659, 0.0682308
557.621, 0.0718744
556.586, 0.0756038
555.556, 0.0794067
554.529, 0.0832717
553.506, 0.0871905
552.486, 0.0911581
551.471, 0.0951737
550.459, 0.0992406
549.451, 0.103365
548.446, 0.107554
547.445, 0.111815
546.448, 0.116155
545.455, 0.120574
