

lambda(nm), Y
1000, 0.937181
996.678, 0.934763
993.377, 0.932592
990.099, 0.930739
986.842, 0.92926
983.607, 0.928197
980.392, 0.927575
977.199, 0.927402
974.026, 0.927668
970.874, 0.928344
967.742, 0.92939
964.63, 0.930752
961.538, 0.932367
958.466, 0.934163
955.414, 0.936068
952.381, 0.938009
949.367, 0.939916
946.372, 0.941727
943.396, 0.943388
940.439, 0.944856
937.5, 0.9461
934.579, 0.947102
931.677, 0.947857
928.793, 0.948372
925.926, 0.948664
923.077, 0.948762
920.245, 0.9487
917.431, 0.948516
914.634, 0.948252
911.854, 0.947949
909.091, 0.947646
906.344, 0.947375
903.614, 0.947164
900.901, 0.947033
898.204, 0.946991
895.522, 0.947042
892.857, 0.947177
890.208, 0.947384
887.574, 0.947639
884.956, 0.947917
882.353, 0.948188
879.765, 0.948419
877.193, 0.94858
874.636, 0.948642
872.093, 0.94858
869.565, 0.948376
867.052, 0.948019
864.553, 0.947502
862.069, 0.946831
859.599, 0.946018
857.143, 0.94508
854.701, 0.944045
852.273, 0.942944
849.858, 0.941811
847.458, 0.940685
845.07, 0.939602
842.697, 0.9386
840.336, 0.937712
837.989, 0.936967
835.655, 0.936388
833.333, 0.935992
831.025, 0.935787
828.729, 0.935775
826.446, 0.935951
824.176, 0.936301
821.918, 0.936805
819.672, 0.937439
817.439, 0.938176
815.217, 0.938983
813.008, 0.939829
810.811, 0.940683
808.625, 0.941515
806.452, 0.942297
804.29, 0.943009
802.139, 0.943631
800, 0.944152
797.872, 0.944565
795.756, 0.944867
793.651, 0.945063
791.557, 0.94516
789.474, 0.94517
787.402, 0.945107
785.34, 0.944987
783.29, 0.944825
781.25, 0.944639
779.221, 0.944442
777.202, 0.944247
775.194, 0.944062
773.196, 0.943896
771.208, 0.943749
769.231, 0.943623
767.263, 0.943514
765.306, 0.943415
763.359, 0.943318
761.421, 0.943214
759.494, 0.943094
757.576, 0.942947
755.668, 0.942764
753.769, 0.94254
751.88, 0.942269
750, 0.94195
748.13, 0.941584
746.269, 0.941175
744.417, 0.940731
742.574, 0.940261
740.741, 0.939777
738.916, 0.939293
737.101, 0.938824
735.294, 0.938382
733.496, 0.937982
731.707, 0.937636
729.927, 0.937352
728.155, 0.937139
726.392, 0.936998
724.638, 0.93693
722.892, 0.936931
721.154, 0.936994
719.424, 0.937108
717.703, 0.93726
715.99, 0.937434
714.286, 0.937612
712.589, 0.937779
710.9, 0.937915
709.22, 0.938004
707.547, 0.938033
705.882, 0.937987
704.225, 0.937859
