

lambda(nm), Y
1000, 0.915701
996.678, 0.915016
993.377, 0.914382
990.099, 0.913812
986.842, 0.913289
983.607, 0.912772
980.392, 0.912212
977.199, 0.911574
974.026, 0.910849
970.874, 0.910061
967.742, 0.909255
964.63, 0.908477
961.538, 0.907761
958.466, 0.907106
955.414, 0.906484
952.381, 0.905848
949.367, 0.90515
946.372, 0.904364
943.396, 0.903493
940.439, 0.902571
937.5, 0.901646
934.579, 0.900764
931.677, 0.899946
928.793, 0.899181
925.926, 0.898431
923.077, 0.897644
920.245, 0.896777
917.431, 0.895814
914.634, 0.89477
911.854, 0.893686
909.091, 0.892613
906.344, 0.89159
903.614, 0.890628
900.901, 0.889703
898.204, 0.888769
895.522, 0.887774
892.857, 0.88668
890.208, 0.88548
887.574, 0.884199
884.956, 0.882884
882.353, 0.881586
879.765, 0.880336
877.193, 0.879131
874.636, 0.877937
872.093, 0.876699
869.565, 0.875363
867.052, 0.873895
864.553, 0.872298
862.069, 0.870602
859.599, 0.868859
857.143, 0.867112
854.701, 0.865383
852.273, 0.863654
849.858, 0.861878
847.458, 0.85999
845.07, 0.857935
842.697, 0.855688
840.336, 0.853264
837.989, 0.850719
835.655, 0.848134
833.333, 0.845594
831.025, 0.843172
828.729, 0.840915
826.446, 0.838851
824.176, 0.836996
821.918, 0.835369
819.672, 0.833994
817.439, 0.832902
815.217, 0.832115
813.008, 0.831621
810.811, 0.831369
808.625, 0.831255
806.452, 0.831147
804.29, 0.830903
802.139, 0.830413
800, 0.829622
797.872, 0.828544
795.756, 0.827249
793.651, 0.825839
791.557, 0.8244
789.474, 0.82298
787.402, 0.821564
785.34, 0.820085
783.29, 0.818455
781.25, 0.816598
779.221, 0.81449
777.202, 0.812169
775.194, 0.809726
773.196, 0.807272
771.208, 0.804891
769.231, 0.802609
767.263, 0.800374
765.306, 0.798077
763.359, 0.795588
761.421, 0.792808
759.494, 0.78971
757.576, 0.786359
755.668, 0.782884
753.769, 0.779438
751.88, 0.776126
750, 0.772959
748.13, 0.769835
746.269, 0.766559
744.417, 0.762915
742.574, 0.75875
740.741, 0.754055
738.916, 0.749005
737.101, 0.743952
735.294, 0.739349
733.496, 0.735642
731.707, 0.733145
729.927, 0.73195
728.155, 0.731886
726.392, 0.73255
724.638, 0.733398
722.892, 0.733877
721.154, 0.733544
719.424, 0.732167
717.703, 0.729746
715.99, 0.726491
714.286, 0.722729
712.589, 0.718803
710.9, 0.714979
709.22, 0.711381
707.547, 0.707987
705.882, 0.704667
704.225, 0.701242
702.576, 0.697561
700.935, 0.693547
699.301, 0.689216
697.674, 0.684658
696.056, 0.679997
694.444, 0.675344
692.841, 0.670756
691.244, 0.666225
689.655, 0.661689
688.073, 0.657061
686.499, 0.652264
684.932, 0.647262
683.371, 0.642063
681.818, 0.636719
680.272, 0.631299
678.733, 0.625858
677.201, 0.620423
675.676, 0.614982
674.157, 0.609491
672.646, 0.603893
671.141, 0.598145
669.643, 0.592226
668.151, 0.586149
666.667, 0.57995
665.188, 0.573674
663.717, 0.567357
662.252, 0.561009
660.793, 0.55462
659.341, 0.548155
657.895, 0.541577
656.455, 0.534859
655.022, 0.52799
653.595, 0.520985
652.174, 0.513872
