

lambda(nm), Y
1000, 0.935523
996.678, 0.9354
993.377, 0.935224
990.099, 0.934963
986.842, 0.934596
983.607, 0.934118
980.392, 0.933541
977.199, 0.932895
974.026, 0.932217
970.874, 0.931551
967.742, 0.93094
964.63, 0.930418
961.538, 0.930008
958.466, 0.929714
955.414, 0.929528
952.381, 0.929421
949.367, 0.929358
946.372, 0.929296
943.396, 0.929193
940.439, 0.929013
937.5, 0.928734
934.579, 0.928346
931.677, 0.927855
928.793, 0.927282
925.926, 0.926657
923.077, 0.926016
920.245, 0.925394
917.431, 0.924819
914.634, 0.924312
911.854, 0.923879
909.091, 0.92351
906.344, 0.923188
903.614, 0.922884
900.901, 0.922565
898.204, 0.9222
895.522, 0.921765
892.857, 0.921243
890.208, 0.920633
887.574, 0.919943
884.956, 0.919195
882.353, 0.918416
879.765, 0.917638
877.193, 0.91689
874.636, 0.916194
872.093, 0.915565
869.565, 0.915001
867.052, 0.914493
864.553, 0.914018
862.069, 0.913548
859.599, 0.913052
857.143, 0.912502
854.701, 0.911876
852.273, 0.911163
849.858, 0.910365
847.458, 0.909493
845.07, 0.90857
842.697, 0.907625
840.336, 0.906689
837.989, 0.905789
835.655, 0.904944
833.333, 0.904164
831.025, 0.903446
828.729, 0.902774
826.446, 0.902125
824.176, 0.901467
821.918, 0.900768
819.672, 0.900001
817.439, 0.899145
815.217, 0.898192
813.008, 0.897147
810.811, 0.896026
808.625, 0.894856
806.452, 0.893671
804.29, 0.892503
802.139, 0.891382
800, 0.890326
797.872, 0.889343
795.756, 0.888424
793.651, 0.88755
791.557, 0.886686
789.474, 0.885796
787.402, 0.88484
785.34, 0.883785
783.29, 0.882609
781.25, 0.881304
779.221, 0.87988
777.202, 0.878362
775.194, 0.876786
773.196, 0.875198
771.208, 0.873644
769.231, 0.872161
767.263, 0.870776
765.306, 0.869493
763.359, 0.868298
761.421, 0.867156
759.494, 0.866011
757.576, 0.864798
755.668, 0.863448
753.769, 0.861898
751.88, 0.860101
750, 0.858033
748.13, 0.855699
746.269, 0.853136
744.417, 0.850411
742.574, 0.847616
740.741, 0.844861
738.916, 0.842259
737.101, 0.839919
735.294, 0.83793
733.496, 0.836354
731.707, 0.835216
729.927, 0.834501
728.155, 0.834157
726.392, 0.834094
724.638, 0.834198
722.892, 0.834339
721.154, 0.834384
719.424, 0.834209
717.703, 0.833711
715.99, 0.832817
714.286, 0.83149
712.589, 0.829727
710.9, 0.827562
709.22, 0.825055
707.547, 0.822287
705.882, 0.819348
704.225, 0.816329
702.576, 0.81331
700.935, 0.810353
699.301, 0.807498
697.674, 0.804762
696.056, 0.802135
694.444, 0.799592
692.841, 0.797091
691.244, 0.794585
689.655, 0.792024
688.073, 0.789369
686.499, 0.786588
684.932, 0.783666
683.371, 0.780602
681.818, 0.777407
680.272, 0.774106
678.733, 0.770727
677.201, 0.767299
675.676, 0.763849
674.157, 0.760397
672.646, 0.756953
671.141, 0.753516
669.643, 0.750074
668.151, 0.74661
666.667, 0.7431
665.188, 0.739518
663.717, 0.735842
662.252, 0.732053
660.793, 0.728142
659.341, 0.724104
657.895, 0.719946
656.455, 0.715679
655.022, 0.711318
653.595, 0.706882
652.174, 0.702385
650.759, 0.697839
649.351, 0.693252
647.948, 0.688623
646.552, 0.683945
645.161, 0.679208
643.777, 0.674395
642.398, 0.66949
641.026, 0.664478
639.659, 0.659346
638.298, 0.654084
636.943, 0.648691
635.593, 0.643169
634.249, 0.637524
632.911, 0.631767
631.579, 0.625908
630.252, 0.619958
628.931, 0.613927
627.615, 0.607819
626.305, 0.601635
625, 0.595371
623.701, 0.589021
622.407, 0.582573
621.118, 0.576017
619.835, 0.569342
618.557, 0.562539
617.284, 0.555601
616.016, 0.548528
614.754, 0.54132
613.497, 0.533982
612.245, 0.526523
610.998, 0.518952
609.756, 0.511277
608.519, 0.503507
607.287, 0.495648
606.061, 0.487702
604.839, 0.479671
603.622, 0.471551
602.41, 0.463338
601.202, 0.455027
600, 0.446612
598.802, 0.43809
597.61, 0.429459
596.421, 0.420721
595.238, 0.411879
594.059, 0.402941
592.885, 0.393917
591.716, 0.384816
590.551, 0.375651
589.391, 0.366433
588.235, 0.357171
587.084, 0.347873
585.938, 0.338546
584.795, 0.329194
583.658, 0.319821
582.524, 0.310429
581.395, 0.301022
580.271, 0.291604
579.151, 0.282181
578.035, 0.27276
576.923, 0.263352
575.816, 0.253969
574.713, 0.244625
573.614, 0.235337
572.519, 0.22612
571.429, 0.216989
570.342, 0.207961
569.26, 0.199049
568.182, 0.190266
567.108, 0.181624
566.038, 0.173133
564.972, 0.164803
563.91, 0.156645
