

lambda(nm), Y
487.805, 0.519762
487.013, 0.524468
486.224, 0.529107
485.437, 0.533678
484.653, 0.538181
483.871, 0.542618
483.092, 0.546988
482.315, 0.551296
481.541, 0.555545
480.769, 0.559738
480, 0.563879
479.233, 0.567972
478.469, 0.572022
477.707, 0.57603
476.948, 0.58
476.19, 0.583934
475.436, 0.587831
474.684, 0.591691
473.934, 0.595513
473.186, 0.599295
472.441, 0.603034
471.698, 0.606727
470.958, 0.610371
470.219, 0.613964
469.484, 0.617502
468.75, 0.620984
468.019, 0.62441
467.29, 0.62778
466.563, 0.631093
465.839, 0.634354
465.116, 0.637563
464.396, 0.640726
463.679, 0.643846
462.963, 0.646927
462.25, 0.649972
461.538, 0.652987
460.829, 0.655974
460.123, 0.658934
459.418, 0.66187
458.716, 0.664782
458.015, 0.667669
457.317, 0.670529
456.621, 0.673361
455.927, 0.676161
455.235, 0.678927
454.545, 0.681655
453.858, 0.684342
453.172, 0.686986
452.489, 0.689585
451.807, 0.692139
451.128, 0.694647
450.45, 0.697111
449.775, 0.699532
449.102, 0.701914
448.43, 0.70426
447.761, 0.706574
447.094, 0.708859
446.429, 0.71112
445.765, 0.71336
445.104, 0.715582
444.444, 0.717787
443.787, 0.719977
443.131, 0.722151
442.478, 0.72431
441.826, 0.72645
441.176, 0.72857
440.529, 0.730667
439.883, 0.732736
439.239, 0.734776
438.596, 0.736783
437.956, 0.738754
437.318, 0.740688
436.681, 0.742583
436.047, 0.744441
435.414, 0.746262
434.783, 0.748047
434.153, 0.7498
433.526, 0.751523
432.9, 0.753221
432.277, 0.754897
431.655, 0.756554
431.034, 0.758195
430.416, 0.759824
429.799, 0.76144
429.185, 0.763046
428.571, 0.764641
427.96, 0.766223
427.35, 0.767791
426.743, 0.769342
426.136, 0.770872
425.532, 0.772378
424.929, 0.773858
424.328, 0.775306
423.729, 0.776722
423.131, 0.778104
422.535, 0.779449
421.941, 0.780758
421.348, 0.782032
420.757, 0.783272
420.168, 0.784481
419.58, 0.785661
418.994, 0.786815
418.41, 0.787945
417.827, 0.789056
417.246, 0.790149
416.667, 0.791226
416.089, 0.792288
415.512, 0.793335
414.938, 0.794365
414.365, 0.795377
413.793, 0.796368
413.223, 0.797335
412.655, 0.798273
412.088, 0.79918
411.523, 0.800051
410.959, 0.800882
410.397, 0.80167
409.836, 0.802412
409.277, 0.803106
408.719, 0.803752
408.163, 0.804348
407.609, 0.804895
407.056, 0.805393
406.504, 0.805844
405.954, 0.806248
405.405, 0.806607
404.858, 0.80692
404.313, 0.807188
403.769, 0.80741
403.226, 0.807584
402.685, 0.807708
402.145, 0.807778
401.606, 0.80779
401.07, 0.807737
400.534, 0.807616
400, 0.807418
399.467, 0.807137
398.936, 0.806767
398.406, 0.806302
397.878, 0.805735
397.351, 0.80506
396.825, 0.804272
396.301, 0.803367
395.778, 0.80234
395.257, 0.801188
394.737, 0.799907
394.218, 0.798496
393.701, 0.79695
393.185, 0.795268
392.67, 0.793448
392.157, 0.791488
391.645, 0.789386
391.134, 0.787144
390.625, 0.784761
390.117, 0.782239
389.61, 0.779583
389.105, 0.776798
388.601, 0.773894
388.098, 0.770883
387.597, 0.767781
387.097, 0.764607
386.598, 0.761384
386.1, 0.758138
385.604, 0.754901
385.109, 0.751706
384.615, 0.748588
384.123, 0.745585
383.632, 0.742735
383.142, 0.740076
382.653, 0.737645
382.166, 0.735477
381.679, 0.7336
381.194, 0.732042
380.711, 0.730823
380.228, 0.729956
379.747, 0.729449
379.267, 0.729303
378.788, 0.72951
378.31, 0.730057
377.834, 0.730923
377.358, 0.732084
376.884, 0.733507
376.412, 0.735159
375.94, 0.737003
375.469, 0.739001
375, 0.741112
374.532, 0.7433
374.065, 0.745527
373.599, 0.747761
373.134, 0.749969
372.671, 0.752126
372.208, 0.754209
371.747, 0.756197
371.287, 0.758077
370.828, 0.759836
370.37, 0.761466
369.914, 0.762961
369.458, 0.764319
369.004, 0.765537
368.55, 0.766616
368.098, 0.767555
367.647, 0.768357
367.197, 0.769024
366.748, 0.769558
366.3, 0.769962
365.854, 0.770242
365.408, 0.770403
364.964, 0.770452
364.52, 0.770398
364.078, 0.770251
363.636, 0.770027
363.196, 0.769739
362.757, 0.769407
362.319, 0.769052
361.882, 0.768696
361.446, 0.768363
361.011, 0.768079
360.577, 0.76787
360.144, 0.76776
359.712, 0.767775
359.281, 0.767934
358.852, 0.768259
358.423, 0.768764
357.995, 0.769462
357.569, 0.77036
357.143, 0.77146
356.718, 0.772761
356.295, 0.774257
355.872, 0.775938
355.45, 0.77779
355.03, 0.779796
354.61, 0.781937
354.191, 0.784193
353.774, 0.786543
353.357, 0.788966
352.941, 0.791443
352.526, 0.793954
352.113, 0.796484
351.7, 0.799016
351.288, 0.80154
350.877, 0.804046
350.467, 0.806526
350.058, 0.808975
349.65, 0.811388
349.243, 0.813764
348.837, 0.816101
348.432, 0.818398
348.028, 0.820653
347.625, 0.822865
347.222, 0.825033
346.821, 0.827154
346.42, 0.829226
346.021, 0.831244
345.622, 0.833206
345.224, 0.835107
344.828, 0.836942
344.432, 0.83871
344.037, 0.840407
343.643, 0.842031
343.249, 0.843582
342.857, 0.845061
342.466, 0.846469
342.075, 0.84781
341.686, 0.849089
341.297, 0.850311
340.909, 0.851482
340.522, 0.852608
340.136, 0.853695
