

lambda(nm), Y
1000, 0.937358
996.678, 0.936399
993.377, 0.935395
990.099, 0.934373
986.842, 0.933354
983.607, 0.932362
980.392, 0.931413
977.199, 0.930524
974.026, 0.929705
970.874, 0.928963
967.742, 0.928301
964.63, 0.92772
961.538, 0.927217
958.466, 0.926791
955.414, 0.926435
952.381, 0.926145
949.367, 0.925917
946.372, 0.925746
943.396, 0.925629
940.439, 0.925563
937.5, 0.925547
934.579, 0.925577
931.677, 0.925651
928.793, 0.925766
925.926, 0.925917
923.077, 0.926097
920.245, 0.9263
917.431, 0.926515
914.634, 0.926732
911.854, 0.926938
909.091, 0.927121
906.344, 0.927268
903.614, 0.927367
900.901, 0.927407
898.204, 0.92738
895.522, 0.92728
892.857, 0.927104
890.208, 0.926854
887.574, 0.926532
884.956, 0.926147
882.353, 0.925708
879.765, 0.925227
877.193, 0.924717
874.636, 0.924194
872.093, 0.923669
869.565, 0.923155
867.052, 0.922663
864.553, 0.9222
862.069, 0.921771
859.599, 0.921377
857.143, 0.921018
854.701, 0.920688
852.273, 0.92038
849.858, 0.920087
847.458, 0.919796
845.07, 0.919499
842.697, 0.919186
840.336, 0.918847
837.989, 0.918476
835.655, 0.918067
833.333, 0.917619
831.025, 0.917131
828.729, 0.916606
826.446, 0.916049
824.176, 0.915465
821.918, 0.914863
819.672, 0.914249
817.439, 0.913633
815.217, 0.91302
813.008, 0.912416
810.811, 0.911826
808.625, 0.911253
806.452, 0.910696
804.29, 0.910154
802.139, 0.909625
800, 0.909105
797.872, 0.908588
795.756, 0.90807
793.651, 0.907546
791.557, 0.90701
789.474, 0.90646
787.402, 0.905892
785.34, 0.905305
783.29, 0.904698
781.25, 0.904071
779.221, 0.903425
777.202, 0.902762
775.194, 0.902083
773.196, 0.90139
771.208, 0.900681
769.231, 0.899958
767.263, 0.899219
765.306, 0.898462
763.359, 0.897685
761.421, 0.896883
759.494, 0.896054
757.576, 0.895195
755.668, 0.894304
753.769, 0.893381
751.88, 0.892427
750, 0.891446
748.13, 0.890443
746.269, 0.889427
744.417, 0.888407
742.574, 0.887396
740.741, 0.886407
738.916, 0.885454
737.101, 0.884549
735.294, 0.883705
733.496, 0.882932
731.707, 0.882237
729.927, 0.881623
728.155, 0.88109
726.392, 0.880633
724.638, 0.880242
722.892, 0.879905
721.154, 0.879605
719.424, 0.879321
717.703, 0.879034
715.99, 0.87872
714.286, 0.878358
712.589, 0.877927
710.9, 0.877411
709.22, 0.876796
707.547, 0.876073
705.882, 0.875237
704.225, 0.874289
702.576, 0.873235
700.935, 0.872085
699.301, 0.870855
697.674, 0.86956
696.056, 0.868221
694.444, 0.866858
692.841, 0.865489
691.244, 0.864133
689.655, 0.862805
688.073, 0.861516
686.499, 0.860274
684.932, 0.859081
683.371, 0.857938
681.818, 0.856837
680.272, 0.85577
678.733, 0.854725
677.201, 0.853688
675.676, 0.852643
674.157, 0.851577
672.646, 0.850476
671.141, 0.849327
669.643, 0.848123
668.151, 0.846858
666.667, 0.84553
665.188, 0.844141
663.717, 0.842696
662.252, 0.841202
660.793, 0.839669
659.341, 0.838108
657.895, 0.836532
656.455, 0.834951
655.022, 0.833375
653.595, 0.831812
652.174, 0.830268
650.759, 0.828744
649.351, 0.827241
647.948, 0.825755
646.552, 0.82428
645.161, 0.822808
643.777, 0.821329
642.398, 0.819832
